2024-04-23 03:58:06.831172
dataset='chess'
prog='LeeBCC'
max_runs=1000
max_secs=40000

graph size: N=7115, E=55779
Subgraphing: lcc
Graph read time:
0.2585998438298702

Run times:
RS: 6250
T: 197.05477364198305
M: 334.953125

RS: 6250
T: 191.85599675797857
M: 335.92578125

RS: 6250
T: 188.17549010599032
M: 343.14453125

RS: 6250
T: 188.70878207613714
M: 344.46484375

RS: 6250
T: 181.64037822303362
M: 344.47265625

RS: 6250
T: 166.3712809230201
M: 344.4921875

RS: 6250
T: 164.1468331059441
M: 344.49609375

RS: 6250
T: 164.98607779480517
M: 344.5078125

RS: 6250
T: 164.73979406198487
M: 344.5078125

RS: 6250
T: 164.84595481911674
M: 345.484375

RS: 6250
T: 164.18212714302354
M: 346.4921875

RS: 6250
T: 170.02721983590163
M: 346.4921875

RS: 6250
T: 181.1216959829908
M: 346.4921875

RS: 6250
T: 180.25558076309972
M: 346.4921875

RS: 6250
T: 182.90358485491015
M: 346.49609375

RS: 6250
T: 183.25359994987957
M: 346.49609375

RS: 6250
T: 193.5650317010004
M: 346.49609375

RS: 6250
T: 199.43063401198015
M: 346.49609375

RS: 6250
T: 198.45095800608397
M: 346.49609375

RS: 6250
T: 198.3357089809142
M: 348.1328125

RS: 6250
T: 198.10992232710123
M: 348.1328125

RS: 6250
T: 200.64634775114246
M: 348.1328125

RS: 6250
T: 197.5237028368283
M: 348.1328125

RS: 6250
T: 200.59172386303544
M: 348.1328125

RS: 6250
T: 196.84433787316084
M: 348.1328125

RS: 6250
T: 199.71062482707202
M: 348.1328125

RS: 6250
T: 199.30238437303342
M: 348.1328125

RS: 6250
T: 198.4190606570337
M: 348.1328125

RS: 6250
T: 195.00038086110726
M: 350.85546875

RS: 6250
T: 197.74506338010542
M: 342.859375

RS: 6250
T: 195.9202751137782
M: 342.859375

RS: 6250
T: 198.36787640699185
M: 344.04296875

RS: 6250
T: 194.38650557305664
M: 349.66796875

RS: 6250
T: 197.94425749895163
M: 350.828125

RS: 6250
T: 200.4342675290536
M: 350.828125

RS: 6250
T: 198.07849670597352
M: 350.828125

RS: 6250
T: 199.96299448795617
M: 350.828125

RS: 6250
T: 196.71994164795615
M: 350.828125

RS: 6250
T: 199.16137631004676
M: 341.859375

RS: 6250
T: 195.85138401086442
M: 341.859375

RS: 6250
T: 198.7923498910386
M: 343.04296875

RS: 6250
T: 196.6928711840883
M: 350.00390625

RS: 6250
T: 199.78621107689105
M: 350.00390625

RS: 6250
T: 199.8244349870365
M: 350.00390625

RS: 6250
T: 200.12157647497952
M: 350.140625

RS: 6250
T: 200.09372903802432
M: 350.140625

RS: 6250
T: 202.21978175383992
M: 350.140625

RS: 6250
T: 198.43853129795752
M: 350.140625

RS: 6250
T: 199.50412651500665
M: 350.140625

RS: 6250
T: 201.53553854092024
M: 350.140625

RS: 6250
T: 201.66983913700096
M: 350.140625

RS: 6250
T: 200.36376315495
M: 350.140625

RS: 6250
T: 200.3542947859969
M: 350.140625

RS: 6250
T: 197.77254785806872
M: 350.140625

RS: 6250
T: 199.96765337395482
M: 350.140625

RS: 6250
T: 200.915249515092
M: 350.140625

RS: 6250
T: 200.47357429307885
M: 350.140625

RS: 6250
T: 200.3377076338511
M: 340.64453125

RS: 6250
T: 199.8961429190822
M: 349.20703125

RS: 6250
T: 200.700719229877
M: 344.9375

RS: 6250
T: 198.30169460200705
M: 347.40234375

RS: 6250
T: 198.9431472090073
M: 347.90234375

RS: 6250
T: 198.80126454494894
M: 347.90234375

RS: 6250
T: 192.36518908990547
M: 348.88671875

RS: 6250
T: 191.9773727019783
M: 349.0546875

RS: 6250
T: 195.98548341495916
M: 349.0546875

RS: 6250
T: 194.1888752321247
M: 349.0546875

RS: 6250
T: 196.77482600091025
M: 349.0546875

RS: 6250
T: 195.844782685861
M: 351.296875

RS: 6250
T: 195.2582266270183
M: 345.8671875

RS: 6250
T: 196.89594193408266
M: 345.8671875

RS: 6250
T: 196.2387214130722
M: 346.9375

RS: 6250
T: 194.9823713148944
M: 346.9375

RS: 6250
T: 192.61442879890092
M: 346.9375

RS: 6250
T: 196.73406721302308
M: 346.9375

RS: 6250
T: 193.77584020490758
M: 346.9375

RS: 6250
T: 195.56929880799726
M: 346.9375

RS: 6250
T: 192.86336520989425
M: 346.9375

RS: 6250
T: 195.17044788203202
M: 346.9375

RS: 6250
T: 195.43518399610184
M: 347.25

RS: 6250
T: 196.3911713459529
M: 347.25

RS: 6250
T: 195.3666186609771
M: 347.25

RS: 6250
T: 196.35230118595064
M: 347.40234375

RS: 6250
T: 194.12602357799187
M: 347.40234375

RS: 6250
T: 196.29532084194943
M: 347.40234375

RS: 6250
T: 194.02940643322654
M: 347.40234375

RS: 6250
T: 196.8608380870428
M: 347.40234375

RS: 6250
T: 197.12365696392953
M: 347.40234375

RS: 6250
T: 197.21950041898526
M: 347.40234375

RS: 6250
T: 195.73807651014067
M: 347.40234375

RS: 6250
T: 196.02853245008737
M: 347.40234375

RS: 6250
T: 194.35451589082368
M: 347.40234375

RS: 6250
T: 197.83361627883278
M: 347.40234375

RS: 6250
T: 197.84319892991334
M: 347.40234375

RS: 6250
T: 199.29878715984523
M: 347.40234375

RS: 6250
T: 200.8499388739001
M: 347.40234375

RS: 6250
T: 199.39345274493098
M: 347.40234375

RS: 6250
T: 250.79794025211595
M: 347.40234375

RS: 6250
T: 263.8553199740127
M: 347.40234375

RS: 6250
T: 265.4151736940257
M: 347.40234375

RS: 6250
T: 266.63126423582435
M: 347.40234375

RS: 6250
T: 266.1893301161472
M: 347.40234375

RS: 6250
T: 266.1565197180025
M: 347.40234375

RS: 6250
T: 266.2534205811098
M: 347.40234375

RS: 6250
T: 265.4546137840953
M: 347.40234375

RS: 6250
T: 264.76617631991394
M: 347.40234375

RS: 6250
T: 265.82142267003655
M: 347.40234375

RS: 6250
T: 265.2503692000173
M: 350.65234375

RS: 6250
T: 299.9162961279508
M: 350.796875

RS: 6250
T: 302.8053935850039
M: 350.796875

RS: 6250
T: 301.82881710492074
M: 350.796875

RS: 6250
T: 303.77083189506084
M: 348.18359375

RS: 6250
T: 302.0310276139062
M: 348.18359375

RS: 6250
T: 301.3504494980443
M: 348.18359375

RS: 6250
T: 302.0992601928301
M: 348.18359375

RS: 6250
T: 301.92941640899517
M: 348.18359375

RS: 6250
T: 299.5218629450537
M: 343.0703125

RS: 6250
T: 302.6581689189188
M: 343.5703125

RS: 6250
T: 301.52918934007175
M: 346.03515625

RS: 6250
T: 302.61178713920526
M: 346.03515625

RS: 6250
T: 305.362227256177
