2024-04-23 03:58:06.831168
dataset='chess'
prog='iCentral'
max_runs=1000
max_secs=40000

graph size: N=7115, E=55779
Subgraphing: lcc
Graph read time:
0.27114967396482825

Run times:
RS: 1994
T: 87.92523450800218
M: 335.6640625

RS: 2613
T: 113.61598113900982
M: 337.1171875

RS: 2166
T: 93.48315234598704
M: 338.00390625

RS: 2601
T: 114.19503003894351
M: 338.08203125

RS: 2784
T: 122.50923108193092
M: 338.234375

RS: 2928
T: 128.50896520190872
M: 338.40234375

RS: 4168
T: 176.62302055512555
M: 338.47265625

RS: 4942
T: 191.52118039084598
M: 339.09375

RS: 3546
T: 133.714558650041
M: 339.28125

RS: 3411
T: 133.32927840482444
M: 339.53125

RS: 1921
T: 73.5597404150758
M: 340.01953125

RS: 4051
T: 157.55024887784384
M: 340.1796875

RS: 2143
T: 81.12499929615296
M: 340.1796875

RS: 2050
T: 79.577496960992
M: 340.1796875

RS: 2253
T: 85.01650218502618
M: 340.1796875

RS: 2324
T: 89.553368892055
M: 340.1796875

RS: 2181
T: 82.15478610107675
M: 340.1796875

RS: 1739
T: 66.80670963204466
M: 340.1796875

RS: 3791
T: 150.85176358791068
M: 340.1796875

RS: 2209
T: 90.91655799606815
M: 340.18359375

RS: 2335
T: 94.12730829487555
M: 340.2578125

RS: 5428
T: 222.46779817901552
M: 341.0625

RS: 3846
T: 155.37380884191953
M: 341.25

RS: 4287
T: 179.54999907384627
M: 341.25

RS: 4165
T: 189.47750552999787
M: 338.84375

RS: 2394
T: 108.98649107594974
M: 339.13671875

RS: 2510
T: 113.51872771116905
M: 339.1875

RS: 2218
T: 101.40554870013148
M: 339.1875

RS: 5714
T: 259.751426957082
M: 339.64453125

RS: 1954
T: 89.35337483417243
M: 339.6875

RS: 1172
T: 53.55981563683599
M: 341.796875

RS: 3385
T: 156.09735670103692
M: 343.2890625

RS: 2062
T: 94.70069100800902
M: 343.2890625

RS: 1859
T: 85.6225557019934
M: 343.2890625

RS: 4042
T: 184.84496750007384
M: 343.2890625

RS: 1591
T: 73.32430883892812
M: 343.2890625

RS: 3330
T: 152.09512702096254
M: 343.2890625

RS: 2451
T: 112.62598475115374
M: 343.2890625

RS: 3233
T: 147.75744335679337
M: 343.29296875

RS: 1986
T: 91.32990795583464
M: 343.29296875

RS: 1920
T: 87.67587900604121
M: 343.29296875

RS: 4522
T: 205.7062738609966
M: 343.29296875

RS: 2359
T: 107.32831641822122
M: 343.29296875

RS: 1863
T: 84.60666248993948
