2024-04-23 03:58:07.152379
dataset='elec'
prog='LeeBCC'
max_runs=1000
max_secs=40000

graph size: N=7066, E=100721
Subgraphing: lcc
Graph read time:
0.4622464490821585

Run times:
RS: 4786
T: 306.12422017904464
M: 349.47265625

RS: 4786
T: 310.3892974279588
M: 354.234375

RS: 4786
T: 310.27748305595014
M: 370.76171875

RS: 4786
T: 309.75232595100533
M: 370.98828125

RS: 4786
T: 297.1037610579515
M: 363.703125

RS: 4786
T: 294.7703747419873
M: 363.703125

RS: 4786
T: 295.8063095789403
M: 361.40234375

RS: 4786
T: 295.6370933239814
M: 365.82421875

RS: 4786
T: 296.0496200219495
M: 371.9375

RS: 4786
T: 296.81853531708475
M: 364.88671875

RS: 4786
T: 294.20598151301965
M: 364.88671875

RS: 4786
T: 293.7454817930702
M: 361.5625

RS: 4786
T: 297.3654555330286
M: 367.6640625

RS: 4786
T: 297.9184055440128
M: 367.6640625

RS: 4786
T: 299.5467998019885
M: 360.421875

RS: 4786
T: 295.2711398770334
M: 369.13671875

RS: 4786
T: 295.8785472450545
M: 363.99609375

RS: 4786
T: 281.5454723039875
M: 364.67578125

RS: 4786
T: 296.3463847639505
M: 374.40625

RS: 4786
T: 297.98815431201365
M: 367.65625

RS: 4786
T: 296.55685332999565
M: 370.94921875

RS: 4786
T: 298.6123075350188
M: 357.87890625

RS: 4786
T: 300.2001736720558
M: 366.83984375

RS: 4786
T: 299.10688026598655
M: 360.69921875

RS: 4786
T: 300.3037718490232
M: 367.4453125

RS: 4786
T: 300.45655533100944
M: 364.9140625

RS: 4786
T: 299.63983034691773
M: 369.44921875

RS: 4786
T: 302.61065743106883
M: 360.6953125

RS: 4786
T: 298.1920226890361
M: 365.015625

RS: 4786
T: 300.807949056034
M: 366.8125

RS: 4786
T: 309.16626654099673
M: 359.64453125

RS: 4786
T: 300.1625959299272
M: 369.8203125

RS: 4786
T: 307.6689364069607
M: 367.66796875

RS: 4786
T: 307.7648255430395
M: 357.86328125

RS: 4786
T: 299.1603084610542
M: 373.67578125

RS: 4786
T: 297.53954331495333
M: 357.25390625

RS: 4786
T: 299.13615951896645
M: 369.6015625

RS: 4786
T: 299.84184890193865
M: 368.94921875

RS: 4786
T: 297.1922557760263
M: 370.4375

RS: 4786
T: 297.63431566406507
M: 367.92578125

RS: 4786
T: 312.235958516947
M: 369.8984375

RS: 4786
T: 313.45191853900906
M: 362.7109375

RS: 4786
T: 313.1305733550107
M: 370.41015625

RS: 4786
T: 312.77722900698427
M: 360.484375

RS: 4786
T: 305.7140658759745
M: 360.484375

RS: 4786
T: 297.8438090820564
M: 369.75

RS: 4786
T: 301.5443941850681
M: 366.81640625

RS: 4786
T: 299.86592866596766
M: 366.73828125

RS: 4786
T: 302.2890612439951
M: 373.796875

RS: 4786
T: 299.89776333398186
M: 370.24609375

RS: 4786
T: 299.5903145329794
M: 357.66015625

RS: 4786
T: 299.3752017200459
M: 362.640625

RS: 4786
T: 299.01571090496145
M: 355.3046875

RS: 4786
T: 299.4157513669925
M: 358.15234375

RS: 4786
T: 299.31090683909133
M: 367.58203125

RS: 4786
T: 298.6862914969679
M: 372.37109375

RS: 4786
T: 300.33674681105185
M: 372.37109375

RS: 4786
T: 299.02946737001184
M: 372.64453125

RS: 4786
T: 299.58448849699926
M: 360.73828125

RS: 4786
T: 300.3316980189411
M: 372.35546875

RS: 4786
T: 299.4831170239486
M: 361.98046875

RS: 4786
T: 299.0648524889257
M: 363.80078125

RS: 4786
T: 298.67369227088057
M: 367.2578125

RS: 4786
T: 298.8165029420052
M: 363.75

RS: 4786
T: 290.7222362179309
M: 363.75

RS: 4786
T: 254.14807777502574
M: 373.16015625

RS: 4786
T: 241.29653524793684
M: 373.16015625

RS: 4786
