2024-04-23 03:58:06.922575
dataset='facebook-combined'
prog='LeeBCC'
max_runs=1000
max_secs=40000

graph size: N=4039, E=88234
Subgraphing: lcc
Graph read time:
0.27978777000680566

Run times:
RS: 3698
T: 59.951223890064284
M: 343.62890625

RS: 3698
T: 59.357655968982726
M: 356.69921875

RS: 3698
T: 59.18520630802959
M: 357.2421875

RS: 3698
T: 57.333968829829246
M: 356.48828125

RS: 3698
T: 56.609111493919045
M: 355.48046875

RS: 3698
T: 56.54451279202476
M: 359.84375

RS: 3698
T: 56.71089277300052
M: 351.1640625

RS: 3698
T: 56.78262391407043
M: 361.8125

RS: 3698
T: 56.41612179297954
M: 358.078125

RS: 3698
T: 56.42140965885483
M: 358.953125

RS: 3698
T: 56.60479642590508
M: 368.26953125

RS: 3698
T: 56.69699116097763
M: 368.26953125

RS: 3698
T: 56.7592778778635
M: 358.4140625

RS: 3698
T: 58.373209045035765
M: 352.01953125

RS: 3698
T: 58.97153944801539
M: 350.640625

RS: 3698
T: 59.04958573891781
M: 355.25390625

RS: 3698
T: 59.174885855056345
M: 361.21875

RS: 3698
T: 57.74049155507237
M: 349.77734375

RS: 3698
T: 57.05707990890369
M: 353.78515625

RS: 3698
T: 56.31258864910342
M: 355.95703125

RS: 3698
T: 56.43872475903481
M: 356.1484375

RS: 3698
T: 56.74497376708314
M: 363.62890625

RS: 3698
T: 57.114369383081794
M: 358.5859375

RS: 3698
T: 57.40903153200634
M: 358.5859375

RS: 3698
T: 59.62629832304083
M: 354.34375

RS: 3698
T: 59.51097691501491
M: 354.734375

RS: 3698
T: 59.392731095897034
M: 360.0625

RS: 3698
T: 59.3880675570108
M: 350.6484375

RS: 3698
T: 59.457500614924356
M: 354.12890625

RS: 3698
T: 59.487722357036546
M: 359.109375

RS: 3698
T: 59.33358226483688
M: 356.80078125

RS: 3698
T: 59.53111569909379
M: 351.5859375

RS: 3698
T: 59.36169307609089
M: 356.74609375

RS: 3698
T: 59.4341407190077
M: 356.34765625

RS: 3698
T: 59.54566446901299
M: 353.86328125

RS: 3698
T: 59.47103294800036
M: 354.16015625

