2024-04-23 03:58:06.922693
dataset='facebook-combined'
prog='iCentral'
max_runs=1000
max_secs=40000

graph size: N=4039, E=88234
Subgraphing: lcc
Graph read time:
0.3022954440675676

Run times:
RS: 88
T: 3.19903321005404
M: 332.671875

RS: 731
T: 20.82352295005694
M: 344.7109375

RS: 782
T: 21.665320727974176
M: 344.9609375

RS: 481
T: 13.128610022133216
M: 349.90234375

RS: 73
T: 2.6652685590088367
M: 349.90234375

RS: 167
T: 5.2221888799685985
M: 349.90625

RS: 61
T: 2.1233945060521364
M: 349.90625

RS: 35
T: 1.3489015852101147
M: 349.90625

RS: 126
T: 4.245316449785605
M: 349.9375

RS: 87
T: 3.0124277400318533
M: 349.9375

RS: 50
T: 1.9955343171022832
M: 349.9375

RS: 20
T: 0.9187677081208676
M: 349.9375

RS: 3696
T: 93.72353960108012
M: 349.9375

RS: 54
T: 1.8198677429463714
M: 349.9375

RS: 107
T: 3.6287757179234177
M: 349.9375

RS: 45
T: 1.7318925389554352
M: 349.9375

RS: 67
T: 2.3227971638552845
M: 349.9375

RS: 1065
T: 27.183382997987792
M: 354.32421875

RS: 63
T: 2.178998172050342
M: 354.32421875

RS: 45
T: 1.5767692890949547
M: 345.75

RS: 48
T: 1.6948367380537093
M: 345.75

RS: 121
T: 3.6039764871820807
M: 345.75

RS: 45
T: 1.5645294529385865
M: 345.75

RS: 21
T: 0.9263135839719325
M: 345.75

RS: 40
T: 1.34335051686503
M: 345.75

RS: 67
T: 2.091052713105455
M: 345.75

RS: 59
T: 1.8383495709858835
M: 345.75

RS: 46
T: 1.690580592956394
M: 345.75

RS: 91
T: 2.800745425047353
M: 345.75

RS: 21
T: 0.911450388841331
M: 345.75

RS: 71
T: 2.1124230339191854
M: 345.75

RS: 43
T: 1.489329137839377
M: 347.2890625

RS: 129
T: 3.533879579976201
M: 347.2890625

RS: 118
T: 3.440662565873936
M: 347.296875

RS: 144
T: 4.150292766978964
M: 347.296875

RS: 43
T: 1.5513510170858353
M: 348.7890625

RS: 651
T: 15.47892010700889
M: 348.796875

RS: 49
T: 1.5682336220052093
M: 348.796875

RS: 72
T: 2.340636594919488
M: 348.796875

RS: 132
T: 3.5594296138733625
M: 349.796875

RS: 65
T: 2.0529744119849056
M: 349.796875

RS: 28
T: 0.2458494019228965
M: 349.796875

RS: 3
T: 0.5675661598797888
M: 349.90625

RS: 84
T: 2.705387903843075
M: 349.91015625

RS: 616
T: 15.398372825002298
M: 349.9140625

RS: 2270
T: 52.64964380604215
M: 349.9140625

RS: 61
T: 1.8307850891724229
M: 349.9140625

RS: 63
T: 2.1990284379571676
M: 349.9140625

RS: 144
T: 4.173977517988533
M: 349.921875

RS: 99
T: 2.8256051489152014
M: 349.921875

RS: 73
T: 2.2401263231877238
M: 349.921875

RS: 42
T: 1.536771452985704
M: 349.921875

RS: 452
