2024-04-23 05:23:23.969026
dataset='facebook-combined'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=4039, E=88234
Subgraphing: lcc
Graph read time:
0.22208802099339664

Run times:
RS: 88
T: 0.6918944281060249
M: 409.125

RS: 731
T: 2.016928077908233
M: 4086.47265625

RS: 782
T: 5.655297574121505
M: 2505.953125

RS: 481
T: 2.2070176578126848
M: 2528.03125

RS: 73
T: 0.7191405291669071
M: 652.0703125

RS: 167
T: 0.7259049310814589
M: 629.484375

RS: 61
T: 0.7174214620608836
M: 632.87890625

RS: 35
T: 0.5592293578665704
M: 636.296875

RS: 126
T: 0.9492171718738973
M: 647.40625

RS: 87
T: 0.646313528995961
M: 662.93359375

RS: 50
T: 0.7724471539258957
M: 663.33203125

RS: 20
T: 0.5045678280293941
M: 663.51171875

RS: 3696
T: 47.7126843619626
M: 3210.609375

RS: 54
T: 0.5940185210201889
M: 661.53125

RS: 107
T: 0.6635014668572694
M: 662.078125

RS: 45
T: 0.6923463908024132
M: 662.0625

RS: 67
T: 0.5855843101162463
M: 662.08203125

RS: 1065
T: 4.995177977019921
M: 4171.08203125

RS: 63
T: 0.5920090549625456
M: 662.0859375

RS: 45
T: 0.5548839119728655
M: 662.1015625

RS: 48
T: 0.6285647200420499
M: 673.53515625

RS: 121
T: 0.6940426880028099
M: 673.609375

RS: 45
T: 0.7340473830699921
M: 673.59375

RS: 21
T: 0.5288869650103152
M: 673.609375

RS: 40
T: 0.7472257690969855
M: 673.625

RS: 67
T: 0.6123026451095939
M: 673.609375

RS: 59
T: 0.5676443970296532
M: 673.625

RS: 46
T: 0.6012773939874023
M: 677.28515625

RS: 91
T: 0.6604214538820088
M: 677.36328125

RS: 21
T: 0.6259509271476418
M: 681.3046875

RS: 71
T: 0.5881633858662099
M: 685.31640625

RS: 43
T: 0.5363910619635135
M: 685.3359375

RS: 129
T: 0.7061040468979627
M: 685.24609375

RS: 118
T: 0.6389341889880598
M: 685.3203125

RS: 144
T: 0.8161533060483634
M: 685.3046875

RS: 43
T: 0.5481281499378383
M: 685.3203125

RS: 651
T: 2.2662672009319067
M: 4323.53515625

RS: 49
T: 0.6378209709655493
M: 685.34375

RS: 72
T: 0.6206592961680144
M: 685.36328125

RS: 132
T: 0.6832234549801797
M: 685.3125

RS: 65
T: 0.6160132670775056
M: 685.42578125

RS: 28
T: 0.3397328881546855
M: 685.5234375

RS: 3
T: 0.48263035505078733
M: 685.4453125

RS: 84
T: 0.8971253300551325
M: 685.4609375

RS: 616
T: 4.167016535997391
M: 2007.91015625

RS: 2270
T: 14.911950547946617
M: 2669.296875

RS: 61
T: 0.5814572221133858
M: 685.37109375

RS: 63
T: 0.6737771690823138
M: 685.4453125

RS: 144
T: 1.0007024689111859
M: 685.46484375

RS: 99
T: 0.6442134620156139
M: 685.453125

RS: 73
T: 1.2092642069328576
M: 1016.46484375

RS: 42
T: 0.5798953371122479
M: 685.4765625

RS: 452
T: 7.073616837151349
M: 1678.5703125

RS: 80
T: 0.6456516839098185
M: 685.40234375

RS: 4
T: 0.5016779508441687
M: 685.4765625

RS: 41
T: 0.43699364410713315
M: 685.54296875

RS: 54
T: 0.6168096428737044
M: 685.578125

RS: 211
T: 0.7763267799746245
M: 685.59765625

RS: 87
T: 0.682611420052126
M: 685.51171875

RS: 3558
T: 55.35672199097462
M: 1677.671875

RS: 14
T: 0.619233018020168
M: 685.59375

RS: 614
T: 1.531278703128919
M: 4654.30859375

RS: 450
T: 1.946948393015191
M: 2669.85546875

RS: 123
T: 0.6953677718993276
M: 685.6328125

RS: 92
T: 0.9197653240989894
M: 685.6484375

RS: 768
T: 3.432882698951289
M: 3992.7890625

RS: 89
T: 0.6116891589481384
M: 685.65625

RS: 76
T: 0.6210813799407333
M: 685.57421875

RS: 16
T: 0.5101777999661863
M: 685.6484375

RS: 85
T: 0.7417407559696585
M: 685.6328125

RS: 36
T: 0.302274061832577
M: 685.6484375

RS: 232
T: 0.9934835699386895
M: 685.6640625

RS: 43
T: 0.580279101151973
M: 685.62890625

RS: 61
T: 0.30009782896377146
M: 685.73046875

RS: 117
T: 0.7795891598798335
M: 688.40234375

RS: 36
T: 0.5360715049318969
M: 691.09375

RS: 363
T: 1.4432026350405067
M: 3359.91015625

RS: 5
T: 0.4736226019449532
M: 691.09375

RS: 86
T: 0.8917199110146612
M: 691.109375

RS: 108
T: 0.6660893920343369
M: 691.09765625

RS: 67
T: 0.6409736699424684
M: 691.1171875

RS: 138
T: 0.7178200299385935
M: 691.02734375

RS: 62
T: 0.6112580399494618
M: 691.1015625

RS: 110
T: 0.7931994870305061
M: 693.69140625

RS: 130
T: 0.6820838651619852
M: 696.3125

RS: 89
T: 0.9176399910356849
M: 696.12890625

RS: 88
T: 0.6203775641042739
M: 677.6796875

RS: 359
T: 1.7010477639269084
M: 2968.09375

RS: 82
T: 0.622188932960853
M: 677.6875

RS: 65
T: 0.6016442009713501
M: 677.703125

RS: 797
T: 6.4617114551365376
M: 2965.15625

RS: 667
T: 5.006934650009498
M: 1984.74609375

RS: 3254
T: 31.26215930003673
M: 4622.50390625

RS: 136
T: 0.725869462126866
M: 680.5234375

RS: 3381
T: 43.868650681106374
M: 3966.6015625

RS: 1550
T: 17.985991068184376
M: 3634.15625

RS: 109
T: 0.6878672379534692
M: 680.5546875

RS: 26
T: 0.6726874818559736
M: 680.5390625

RS: 210
T: 0.8017800140660256
M: 680.5546875

RS: 129
T: 0.9682066158857197
M: 680.5703125

RS: 54
T: 0.5726601239293814
M: 680.5546875

RS: 363
T: 1.375106885097921
M: 3638.36328125

RS: 2585
T: 38.17131936107762
M: 2978.08203125

RS: 29
T: 0.5220278210472316
M: 680.578125

RS: 75
T: 0.6263989119324833
M: 680.48828125

RS: 70
T: 0.6062490700278431
M: 680.5625

RS: 57
T: 0.703310381853953
M: 683.0234375

RS: 62
T: 0.5665955517906696
M: 680.5625

RS: 841
T: 3.0299959059339017
M: 5279.8359375

RS: 44
T: 0.5851681060157716
M: 683.0390625

RS: 88
T: 0.9082311200909317
M: 683.0546875

RS: 78
T: 0.6148021658882499
M: 680.5

RS: 57
T: 0.5812508948147297
M: 680.515625

RS: 109
T: 0.6758358250372112
M: 681.66796875

RS: 98
T: 0.6127593200653791
M: 683.93359375

RS: 68
T: 0.7185791181400418
M: 687.875

RS: 103
T: 0.6225725838448852
M: 689.6484375

RS: 92
T: 0.9072207070421427
M: 689.6640625

RS: 144
T: 0.696388702141121
M: 689.6484375

RS: 37
T: 0.281474239891395
M: 689.6640625

RS: 2364
T: 25.557646312983707
M: 3684.71875

RS: 97
T: 0.658051572041586
M: 689.6484375

RS: 95
T: 0.7481672368012369
M: 689.6328125

RS: 66
T: 0.6054945080541074
M: 689.6484375

RS: 202
T: 0.9123140661977232
M: 689.6328125

RS: 1260
T: 6.016404258087277
M: 3351.87890625

RS: 86
T: 0.7452611490152776
M: 689.6328125

RS: 109
T: 0.6781569060403854
M: 689.6484375

RS: 79
T: 0.8918001030106097
M: 689.6640625

RS: 149
T: 0.7118671177886426
M: 689.65625

RS: 19
T: 0.517556486884132
M: 689.671875

RS: 37
T: 0.572912085801363
M: 689.58203125

RS: 124
T: 0.6791639339644462
M: 689.65625

RS: 63
T: 0.9155970860738307
M: 689.671875

RS: 85
T: 0.6233178230468184
M: 689.671875

RS: 67
T: 0.8497100151143968
M: 689.703125

RS: 86
T: 0.626202714862302
M: 689.6875

RS: 63
T: 0.6071072518825531
M: 689.703125

RS: 2580
T: 39.97936216904782
M: 3019.44921875

RS: 95
T: 0.6458982368931174
M: 689.75

RS: 19
T: 0.565051601966843
M: 689.67578125

RS: 156
T: 0.7530226008966565
M: 689.75

RS: 39
T: 0.6708046281710267
M: 689.734375

RS: 357
T: 3.16964114503935
M: 1356.0859375

RS: 46
T: 0.7091334739234298
M: 689.7421875

RS: 73
T: 0.6062961008865386
M: 689.7578125

RS: 702
T: 2.6988064490724355
M: 4019.5625

RS: 431
T: 1.3453752470668405
M: 3019.41796875

RS: 58
T: 0.8559584601316601
M: 689.7734375

RS: 182
T: 0.766824214020744
M: 689.7578125

RS: 29
T: 0.5372866049874574
M: 689.7734375

RS: 783
T: 2.7929768098983914
M: 4018.78125

RS: 1482
T: 16.488989436998963
M: 2353.89453125

RS: 60
T: 0.6925768258515745
M: 692.63671875

RS: 46
T: 0.5650116500910372
M: 695.546875

RS: 57
T: 0.9565784519072622
M: 695.36328125

RS: 693
T: 3.1889600660651922
M: 2973.625

RS: 97
T: 0.8761109879706055
M: 684.70703125

RS: 123
T: 0.6896954521071166
M: 689.8359375

RS: 51
T: 0.5933990359771997
M: 689.8515625

RS: 55
T: 0.5928402608260512
M: 689.76171875

RS: 60
T: 0.593033182900399
M: 689.8359375

RS: 86
T: 0.7745703069958836
M: 689.8203125

RS: 160
T: 0.7192175621166825
M: 689.8359375

RS: 2371
T: 24.93490484682843
M: 3353.84765625

RS: 793
T: 3.0026614661328495
M: 4018.56640625

RS: 39
T: 0.5478291600011289
M: 689.8515625

RS: 55
T: 0.599660478066653
M: 689.76171875

RS: 3685
T: 54.169262842973694
M: 2021.42578125

RS: 39
T: 0.8238067999482155
M: 689.890625

RS: 146
T: 0.7100673438981175
M: 689.875

RS: 37
T: 0.6997664379887283
M: 689.890625

RS: 3658
T: 50.45338554494083
M: 3020.17578125

RS: 897
T: 7.534534469945356
M: 3025.109375

RS: 49
T: 0.3306289790198207
M: 690.54296875

RS: 355
T: 0.994856053031981
M: 690.6171875

RS: 130
T: 0.81331448815763
M: 690.6015625

RS: 2014
T: 29.31141604692675
M: 2023.6640625

RS: 185
T: 1.0789119680412114
M: 690.6328125

RS: 50
T: 0.5836422701831907
M: 690.6171875

RS: 73
T: 1.2673225419130176
M: 2692.87109375

RS: 130
T: 0.7248288879636675
M: 690.6171875

RS: 72
T: 0.5814399388618767
M: 690.6328125

RS: 768
T: 2.7305413640569896
M: 3357.4140625

RS: 2
T: 0.4490742259658873
M: 690.6171875

RS: 59
T: 0.7378660510294139
M: 690.6015625

RS: 114
T: 0.8163140080869198
M: 690.6171875

RS: 78
T: 0.71859798906371
M: 690.6015625

RS: 74
T: 0.6079171891324222
M: 690.6171875

RS: 40
T: 0.6844443010631949
M: 690.6015625

RS: 91
T: 0.6312136170454323
M: 690.6171875

RS: 41
T: 0.8697898320388049
M: 690.6328125

RS: 90
T: 0.6363577949814498
M: 690.6171875

RS: 71
T: 0.8747792870271951
M: 690.6328125

RS: 56
T: 0.612666399916634
M: 690.6171875

RS: 882
T: 3.8052663570269942
M: 5026.83203125

RS: 57
T: 0.6505704028531909
M: 690.54296875

RS: 84
T: 0.6349211160559207
M: 690.6171875

RS: 442
T: 1.5371840901207179
M: 3032.4765625

RS: 1257
T: 21.38039251882583
M: 2030.51171875

RS: 48
T: 0.6819494990631938
M: 692.73046875

RS: 62
T: 0.587318227859214
M: 676.71875

RS: 45
T: 1.0338657801039517
M: 680.5625

RS: 33
T: 0.5442905598320067
M: 684.375

RS: 19
T: 0.6908779891673476
M: 685.74609375

RS: 120
T: 0.6839580698870122
M: 687.0859375

RS: 40
T: 0.5740526849403977
M: 687.1015625

RS: 133
T: 0.7647756219375879
M: 687.01171875

RS: 778
T: 7.677054336061701
M: 3007.62890625

RS: 104
T: 0.8005894909147173
M: 689.27734375

RS: 725
T: 5.163715593982488
M: 2026.33984375

RS: 31
T: 0.6805909590329975
M: 691.484375

RS: 46
T: 0.5757852517999709
M: 691.5

RS: 46
T: 0.8489449871703982
M: 691.515625

RS: 65
T: 0.6026728339493275
M: 691.5

RS: 67
T: 0.8261296369601041
M: 691.515625

RS: 770
T: 4.373354085022584
M: 3694.67578125

RS: 31
T: 0.6943306289613247
M: 691.515625

RS: 834
T: 3.356552251148969
M: 3360.99609375

RS: 74
T: 0.8353356539737433
M: 691.515625

RS: 293
T: 0.9319365778937936
M: 691.42578125

RS: 149
T: 0.7249453340191394
M: 691.5

RS: 804
T: 9.981900610029697
M: 3382.23046875

RS: 3695
T: 54.09602126502432
M: 3048.734375

RS: 1601
T: 9.06776212900877
M: 5403.15625

RS: 93
T: 0.642474289983511
M: 696.21875

RS: 42
T: 1.1835646559484303
