2024-04-23 04:10:55.222683
dataset='pajek-erdos'
prog='iCentral'
max_runs=1000
max_secs=40000

graph size: N=6927, E=11850
Subgraphing: lcc
Graph read time:
0.11688325717113912

Run times:
RS: 1547
T: 8.73602630593814
M: 328.66796875

RS: 1919
T: 10.416333756875247
M: 330.23046875

RS: 1686
T: 9.21861858596094
M: 330.43359375

RS: 2105
T: 11.283307613804936
M: 330.8984375

RS: 410
T: 2.1288051470182836
M: 330.8984375

RS: 1466
T: 7.914968033088371
M: 331.20703125

RS: 2005
T: 10.71384838107042
M: 331.20703125

RS: 1977
T: 10.603563716169447
M: 331.20703125

RS: 146
T: 0.8179068241734058
M: 331.20703125

RS: 2119
T: 11.369014233117923
M: 331.20703125

RS: 2106
T: 11.226807212922722
M: 331.20703125

RS: 1999
T: 10.691447081975639
M: 332.50390625

RS: 1843
T: 9.892903077183291
M: 332.50390625

RS: 705
T: 3.67625295300968
M: 332.5078125

RS: 2090
T: 11.100993911968544
M: 332.5078125

RS: 1896
T: 10.137427987996489
M: 332.5078125

RS: 2122
T: 11.327864782884717
M: 332.5078125

RS: 1872
T: 10.058715892024338
M: 332.5078125

RS: 1648
T: 8.93157868180424
M: 332.5078125

RS: 1718
T: 9.325554291019216
M: 332.5078125

RS: 1418
T: 7.816274321870878
M: 332.5078125

RS: 287
T: 1.5989814039785415
M: 332.5078125

RS: 2020
T: 10.778637321898714
M: 332.5234375

RS: 1082
T: 6.198410646058619
M: 332.5234375

RS: 1281
T: 7.123535912018269
M: 332.5234375

RS: 1764
T: 9.579100371105596
M: 332.5234375

RS: 277
T: 1.5203063350636512
M: 333.08203125

RS: 490
T: 2.6178174128290266
M: 333.109375

RS: 1501
T: 8.320470664883032
M: 333.12890625

RS: 1927
T: 10.384685054188594
M: 333.12890625

RS: 2140
T: 11.453789981082082
M: 333.43359375

RS: 1500
T: 8.209029651945457
M: 333.43359375

RS: 2080
T: 11.126170428004116
M: 333.4375

RS: 1719
T: 9.413559141103178
M: 333.4375

RS: 1523
T: 8.457223388832062
M: 333.4375

RS: 647
T: 3.4139692049939185
M: 333.4375

RS: 1433
T: 7.978979496052489
M: 333.4375

RS: 2000
T: 10.855680898064747
M: 333.4375

RS: 1278
T: 7.137557717040181
M: 333.4375

RS: 2095
T: 11.159823540132493
M: 333.4375

RS: 1485
T: 8.212414778070524
M: 333.4375

RS: 2100
T: 11.275468316162005
M: 333.4375

RS: 2078
T: 11.115062731085345
M: 333.4375

RS: 474
T: 2.526800257852301
M: 333.4375

RS: 1797
T: 9.719519167905673
M: 333.4375

RS: 657
T: 3.412964397808537
M: 333.4375

RS: 444
T: 2.3864205710124224
M: 333.4375

RS: 2134
T: 11.398956201039255
M: 333.4375

RS: 1882
T: 10.212081613950431
M: 333.4375

RS: 1792
T: 9.748155703069642
M: 333.4375

RS: 1977
T: 10.660908521851525
M: 333.4375

RS: 1415
T: 7.740243277978152
M: 333.4375

RS: 2141
T: 11.475485434988514
M: 333.4375

RS: 1522
T: 8.402853734092787
M: 333.4375

RS: 1452
T: 8.066435798071325
M: 333.4375

RS: 2101
T: 11.22011129395105
M: 333.4375

RS: 2136
T: 11.419635728001595
M: 333.4375

RS: 1291
T: 7.254982772981748
M: 333.4375

RS: 2123
T: 11.332072018878534
M: 333.4375

RS: 90
T: 0.6227866290137172
M: 333.4375

RS: 362
T: 1.9592555770650506
M: 333.4375

RS: 1534
T: 8.49086612300016
M: 333.4375

RS: 1632
T: 8.87206254596822
M: 333.4375

RS: 2024
T: 10.819750879891217
M: 333.4375

RS: 2116
T: 11.344505185028538
M: 333.4375

RS: 1447
T: 7.968080603983253
M: 333.4375

RS: 2131
T: 11.447331677889451
M: 333.4375

RS: 1950
T: 10.475280857877806
M: 333.4375

RS: 1797
T: 9.74517390690744
M: 333.4375

RS: 522
T: 2.754991265013814
M: 333.4375

RS: 1472
T: 8.13220925303176
M: 333.4375

RS: 2137
T: 11.452277716016397
M: 333.4375

RS: 2118
T: 11.320130263920873
M: 333.4375

RS: 2013
T: 10.760025170864537
M: 333.4375

RS: 1628
T: 8.924577736062929
M: 333.4375

RS: 1879
T: 10.123509783996269
M: 333.4375

RS: 1633
T: 8.950448100920767
M: 333.4375

RS: 2124
T: 11.411622737068683
M: 333.4375

RS: 47
T: 0.3328057168982923
M: 333.4375

RS: 1657
T: 9.053634000010788
M: 333.4375

RS: 1334
T: 7.387756073148921
M: 333.4375

RS: 2131
T: 11.39627517806366
M: 333.4375

RS: 1509
T: 8.238029844127595
M: 333.4375

RS: 1834
T: 9.879267815966159
M: 333.4375

RS: 1426
T: 7.819742715917528
M: 333.4375

RS: 1872
T: 10.0282713661436
M: 333.4375

RS: 2145
T: 11.501313176937401
M: 333.4375

RS: 405
T: 2.1917528100311756
M: 333.4375

RS: 1634
T: 8.959538968047127
M: 333.4375

RS: 74
T: 0.4743445930071175
M: 333.4375

RS: 38
T: 0.3746799498330802
M: 333.4375

RS: 212
T: 1.184481494827196
M: 333.49609375

RS: 2109
T: 11.33590359101072
M: 333.50390625

RS: 275
T: 1.5005724071525037
M: 333.50390625

RS: 2131
T: 11.396593038924038
M: 333.50390625

RS: 2087
T: 11.264094271929935
M: 333.50390625

RS: 1341
T: 7.496129154926166
M: 333.50390625

RS: 2046
T: 10.962197883054614
M: 333.50390625

RS: 497
T: 2.625827555079013
M: 333.50390625

RS: 1555
T: 8.526554396841675
M: 333.50390625

RS: 1945
T: 10.422968351980671
M: 333.50390625

RS: 4
T: 0.1204751639161259
M: 333.50390625

RS: 1963
T: 10.527739810058847
M: 333.50390625

RS: 2110
T: 11.262476440984756
M: 333.50390625

RS: 512
T: 2.719942109892145
M: 333.50390625

RS: 1696
T: 9.195060788886622
M: 333.50390625

RS: 1842
T: 9.938402604078874
M: 333.50390625

RS: 1426
T: 7.880327657097951
M: 333.50390625

RS: 1779
T: 9.614463575882837
M: 333.50390625

RS: 1569
T: 8.641778314951807
M: 333.50390625

RS: 2123
T: 11.320984061807394
M: 333.50390625

RS: 1836
T: 9.941634580958635
M: 333.50390625

RS: 2112
T: 11.317029442172498
M: 333.50390625

RS: 1809
T: 9.76351891295053
M: 333.50390625

RS: 1627
T: 8.905582980019972
M: 333.50390625

RS: 2097
T: 11.171610465971753
M: 333.50390625

RS: 361
T: 1.927982155000791
M: 333.50390625

RS: 141
T: 0.9079534609336406
M: 333.50390625

RS: 2011
T: 10.729932985035703
M: 333.50390625

RS: 1207
T: 6.757136418949813
M: 333.50390625

RS: 1989
