2024-04-23 05:34:31.374842
dataset='pajek-erdos'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=6927, E=11850
Subgraphing: lcc
Graph read time:
0.13131704204715788

Run times:
RS: 1547
T: 5.724176513962448
M: 666.74609375

RS: 1919
T: 8.042262653820217
M: 753.78125

RS: 1686
T: 8.254589535063133
M: 675.125

RS: 2105
T: 11.35997346485965
M: 722.40625

RS: 410
T: 0.5699316768441349
M: 461.44140625

RS: 1466
T: 7.527591018006206
M: 805.046875

RS: 2005
T: 10.653785740956664
M: 849.09375

RS: 1977
T: 7.839598539983854
M: 1778.32421875

RS: 146
T: 0.4111333901528269
M: 618.91796875

RS: 2119
T: 9.777026036055759
M: 1212.078125

RS: 2106
T: 10.046110698021948
M: 923.49609375

RS: 1999
T: 10.124888407066464
M: 924.05859375

RS: 1843
T: 8.256928610149771
M: 1214.65625

RS: 705
T: 1.4408047501929104
M: 915.37890625

RS: 2090
T: 10.751175684155896
M: 924.21484375

RS: 1896
T: 8.162512229988351
M: 1219.671875

RS: 2122
T: 10.54564452287741
M: 928.6796875

RS: 1872
T: 8.566404066048563
M: 929.38671875

RS: 1648
T: 8.548610020894557
M: 940.25390625

RS: 1718
T: 7.68601498589851
M: 937.74609375

RS: 1418
T: 6.93944490281865
M: 937.77734375

RS: 287
T: 0.4380021078977734
M: 632.97265625

RS: 2020
T: 8.72729447716847
M: 940.59765625

RS: 1082
T: 4.057837343076244
M: 937.84375

RS: 1281
T: 5.189886335050687
M: 1241.58984375

RS: 1764
T: 7.182380631100386
M: 938.11328125

RS: 277
T: 0.42261539096944034
M: 633.125

RS: 490
T: 0.8245376339182258
M: 633.8125

RS: 1501
T: 6.352038146927953
M: 1243.82421875

RS: 1927
T: 8.020740560023114
M: 939.70703125

RS: 2140
T: 8.874688298907131
M: 1244.33203125

RS: 1500
T: 6.526552487863228
M: 1244.578125

RS: 2080
T: 10.294264876050875
M: 942.5546875

RS: 1719
T: 8.018895596964285
M: 940.546875

RS: 1523
T: 6.272673259023577
M: 940.1875

RS: 647
T: 1.644689038163051
M: 939.7890625

RS: 1433
T: 4.409647956956178
M: 1245.6640625

RS: 2000
T: 8.886276460019872
M: 1244.734375

RS: 1278
T: 5.5578861648682505
M: 1244.53125

RS: 2095
T: 10.270945874974132
M: 942.6875

RS: 1485
T: 6.815484191989526
M: 940.20703125

RS: 2100
T: 8.911164241144434
M: 1244.8203125

RS: 2078
T: 9.315464122919366
M: 942.95703125

RS: 474
T: 0.9533571940846741
M: 634.66796875

RS: 1797
T: 8.482542969053611
M: 1245.81640625

RS: 657
T: 1.8342239421326667
M: 940.49609375

RS: 444
T: 0.8229833559598774
M: 634.77734375

RS: 2134
T: 9.316844736924395
M: 1550.4375

RS: 1882
T: 7.289218264864758
M: 1245.28515625

