2024-04-23 04:10:55.905455
dataset='slashdot-threads'
prog='iCentral'
max_runs=1000
max_secs=40000

graph size: N=51083, E=117378
Subgraphing: lcc
Graph read time:
0.8137848591431975

Run times:
RS: 10213
T: 1839.707082376117
M: 535.65234375

RS: 10812
T: 2062.240738264052
M: 534.78515625

RS: 6596
T: 1186.5956503089983
M: 535.859375

RS: 9081
T: 1656.043962129159
M: 542.35546875

RS: 13044
T: 2421.3637558869086
M: 537.5625

RS: 8455
T: 1583.0583212869242
M: 542.73828125

RS: 10523
T: 1943.0013987869024
M: 538.85546875

RS: 14182
T: 2673.0079779010266
M: 544.453125

RS: 5974
T: 1138.8308354560286
M: 538.69921875

RS: 17018
T: 2983.4499797020108
M: 541.80078125

RS: 8240
T: 1268.8763866228983
M: 542.52734375

RS: 14582
T: 2256.243945577182
M: 543.125

RS: 15140
T: 2346.794202504214
M: 540.08984375

RS: 1789
T: 278.67521541402675
M: 538.015625

RS: 7333
T: 1144.7374496180564
M: 537.35546875

RS: 19412
T: 2750.272612758912
M: 537.69921875

RS: 10731
T: 1579.3562561131548
M: 544.62109375

RS: 12460
T: 1819.9198949891143
M: 543.5859375

RS: 16599
T: 2479.249409365002
M: 546.5625

RS: 15611
T: 2315.850094845984
M: 546.56640625

RS: 4
T: 0.8910322170704603
M: 546.56640625

RS: 10663
T: 1523.807434599148
M: 538.265625

