2024-04-23 05:34:31.374823
dataset='slashdot-threads'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=51083, E=117378
Subgraphing: lcc
Graph read time:
0.6171806510537863

Run times:
RS: 10213
T: 549.9894284869079
M: 8289.70703125

RS: 10812
T: 857.7308322908357
M: 8394.1328125

RS: 6596
T: 269.7915831708815
M: 8436.30859375

RS: 9081
T: 504.5600670410786
M: 8774.703125

RS: 13044
T: 1085.289192146156
M: 8960.76953125

RS: 8455
T: 272.0332247680053
M: 8972.19140625

RS: 10523
T: 731.2807129761204
M: 9938.40234375

RS: 14182
T: 1016.6728588030674
M: 9083.859375

RS: 5974
T: 234.36904650111683
M: 8870.609375

RS: 17018
T: 1397.9599570599385
M: 8873.65234375

RS: 8240
T: 480.77042158693075
M: 9167.59765625

RS: 14582
T: 1279.5354052938055
M: 10214.91796875

RS: 15140
T: 1489.5665977341123
M: 9264.140625

RS: 1789
T: 28.724722565850243
M: 8918.828125

RS: 7333
T: 366.68796362215653
M: 8922.0078125

RS: 19412
T: 2391.814781079069
M: 8925.55859375

RS: 10731
T: 786.9883966329508
M: 8505.72265625

RS: 12460
T: 1088.8036315620411
M: 8926.7265625

RS: 16599
T: 1579.868557946058
M: 8738.3203125

RS: 15611
T: 1716.3491471519228
M: 8958.7109375

RS: 4
T: 0.7755053360015154
M: 878.5546875

RS: 10663
T: 751.1313424899708
M: 8922.66796875

RS: 7500
T: 701.3616823919583
M: 9496.6171875

RS: 9231
T: 716.1459941880312
M: 9593.53125

RS: 13807
T: 1346.2463195978198
M: 8834.6640625

RS: 11771
T: 1005.444996122038
M: 8609.5625

RS: 6033
T: 339.9454467569012
M: 9888.453125

RS: 7211
T: 286.24169765994884
M: 9709.7265625

RS: 9587
T: 647.1654584398493
M: 9150.6796875

RS: 10982
T: 769.6745198799763
M: 9153.5078125

RS: 11927
T: 801.6216991371475
M: 9152.45703125

RS: 11638
T: 920.5646507299971
M: 9151.734375

RS: 10643
T: 609.4556258111261
M: 8718.09375

RS: 11013
T: 1050.1357171989512
M: 9143.69921875

RS: 17646
T: 1741.7062874019612
M: 9148.34375

RS: 16004
T: 1567.4766755199526
M: 9150.12109375

RS: 19075
T: 1815.1144173750654
M: 8715.25

RS: 9114
T: 636.2393970598932
M: 9150.98828125

RS: 11276
