2024-04-23 04:10:57.460880
dataset='sx-mathoverflow'
prog='iCentral'
max_runs=1000
max_secs=40000

graph size: N=24668, E=199851
Subgraphing: lcc
Graph read time:
1.3874582699500024

Run times:
RS: 8863
T: 2571.8931563738734
M: 523.21875

RS: 13076
T: 3823.9130057049915
M: 532.88671875

RS: 10204
T: 3012.6401035590097
M: 531.87109375

RS: 0
T: 1.2972314201761037
M: 529.7109375

RS: 5514
T: 1587.4056627599057
M: 530.0078125

RS: 9910
T: 2663.5650422510225
M: 542.23046875

RS: 12180
T: 3575.891179661965
M: 548.41015625

RS: 6475
T: 1712.0567570230924
M: 535.25

RS: 15702
T: 3084.679630157072
M: 549.47265625

RS: 16918
T: 3230.8848322811536
M: 543.265625

RS: 0
T: 1.6453500969801098
M: 555.8515625

RS: 6457
T: 1254.442375359824
M: 553.63671875

RS: 0
T: 1.5605317440349609
M: 539.3203125

RS: 9460
T: 1869.8785420819186
M: 539.3203125

RS: 8366
T: 1711.1633292220067
M: 539.3203125

RS: 7542
T: 1521.8660428570583
M: 549.0234375

RS: 5836
T: 1149.4348079541232
M: 559.45703125

RS: 9653
T: 2012.767072662944
M: 545.3515625

RS: 6865
T: 1739.6451176530682
M: 548.17578125

RS: 9793
T: 2804.6834465910215
M: 543.265625

