2024-04-23 05:45:46.067976
dataset='topology'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=34761, E=107720
Subgraphing: lcc
Graph read time:
0.6207270638551563

Run times:
RS: 22453
T: 2329.184172683861
M: 6395.81640625

RS: 13634
T: 1329.2880484061316
M: 6823.328125

RS: 21386
T: 2082.158518636832
M: 8353.96484375

RS: 22938
T: 2068.8570509129204
M: 8828.71484375

RS: 6174
T: 360.97656541108154
M: 7043.37109375

RS: 21623
T: 2189.601518427953
M: 7570.828125

RS: 11337
T: 1002.5192677960731
M: 8441.24609375

RS: 6500
T: 340.42939032800496
M: 7348.9609375

RS: 14350
T: 1198.346992185805
M: 4869.15234375

RS: 8919
T: 748.8484115840402
M: 7753.28125

RS: 19146
T: 1847.963383544935
M: 7868.63671875

RS: 11665
T: 927.6456246799789
M: 7696.625

RS: 21639
T: 1810.520845963154
M: 8063.65625

RS: 12173
T: 775.4792002688628
M: 8560.7890625

RS: 22375
T: 2141.469719059067
M: 7818.54296875

RS: 17198
T: 1708.7111518618185
M: 7435.52734375

RS: 19900
T: 1726.8615526151843
M: 7741.0859375

RS: 16392
T: 1552.6353337799665
M: 6864.359375

RS: 17660
T: 2097.163698029006
M: 8541.3125

RS: 14992
T: 1377.240940361051
M: 8087.23046875

RS: 16706
T: 1603.7872276480775
M: 8081.734375

RS: 15126
T: 1363.2527448160108
M: 8478.34765625

RS: 15776
T: 1059.1758772681933
M: 7991.73828125

RS: 5096
