2024-04-23 04:10:55.243170
dataset='wikispeedia'
prog='LeeBCC'
max_runs=1000
max_secs=40000

graph size: N=4179, E=50500
Subgraphing: lcc
Graph read time:
0.3780384100973606

Run times:
RS: 4105
T: 87.35937835997902
M: 338.14453125

RS: 4105
T: 87.5202054490801
M: 338.27734375

RS: 4105
T: 88.38857153686695
M: 338.421875

RS: 4105
T: 86.56847494700924
M: 338.55078125

RS: 4105
T: 87.3320191570092
M: 338.5625

RS: 4105
T: 86.33113973215222
M: 338.5625

RS: 4105
T: 86.3688920729328
M: 338.5625

RS: 4105
T: 86.83879380789585
M: 341.90625

RS: 4105
T: 85.21631703292951
M: 341.91796875

RS: 4105
T: 84.11154186003841
M: 341.91796875

RS: 4105
T: 83.79710366716608
M: 341.91796875

RS: 4105
T: 83.6837775921449
M: 341.91796875

RS: 4105
T: 83.38771792198531
M: 341.91796875

RS: 4105
T: 83.08248432911932
M: 343.30078125

RS: 4105
T: 83.61821095785126
M: 343.30078125

RS: 4105
T: 83.76959656714462
M: 343.30078125

RS: 4105
T: 83.55277370288968
M: 343.30078125

RS: 4105
T: 83.97484594699927
M: 343.30078125

RS: 4105
T: 84.26936872093938
M: 343.30078125

RS: 4105
T: 84.12419950100593
M: 335.1484375

RS: 4105
T: 84.0123810369987
M: 336.9375

RS: 4105
T: 83.67624547402374
M: 343.97265625

RS: 4105
T: 84.28698631189764
M: 344.921875

RS: 4105
T: 84.47550036408938
M: 344.921875

RS: 4105
T: 86.01614718209021
M: 344.92578125

RS: 4105
T: 88.43645355897024
M: 344.9296875

RS: 4105
T: 88.10471553797834
M: 344.93359375

RS: 4105
T: 83.58414658810943
M: 347.390625

RS: 4105
T: 88.37660954915918
M: 347.390625

RS: 4105
T: 83.84290399891324
M: 347.390625

RS: 4105
T: 83.72019390412606
M: 347.390625

RS: 4105
T: 83.7621145430021
M: 347.390625

RS: 4105
T: 83.28964943811297
M: 339.35546875

RS: 4105
T: 85.03137410711497
M: 339.35546875

RS: 4105
T: 83.3485531269107
M: 339.35546875

RS: 4105
T: 83.4895198030863
M: 339.35546875

RS: 4105
T: 83.55621140589938
M: 339.35546875

RS: 4105
T: 83.58885723003186
M: 339.35546875

RS: 4105
T: 83.27739916206338
M: 339.35546875

RS: 4105
T: 83.70504260482267
M: 339.35546875

RS: 4105
T: 83.6699479771778
M: 339.35546875

RS: 4105
T: 83.88417751598172
M: 339.35546875

RS: 4105
T: 86.24901991290972
M: 339.35546875

RS: 4105
T: 86.64835262205452
M: 339.35546875

RS: 4105
T: 86.27590927504934
M: 341.73046875

RS: 4105
T: 87.23411974404007
M: 341.7421875

RS: 4105
T: 88.00621827598661
M: 341.7421875

RS: 4105
T: 87.41222279216163
M: 341.7421875

RS: 4105
T: 85.73476584209129
M: 341.7421875

RS: 4105
T: 83.95092992810532
M: 341.7421875

RS: 4105
T: 83.87485026102513
M: 341.7421875

RS: 4105
T: 87.3502345988527
M: 341.7421875

RS: 4105
T: 88.14492780622095
M: 341.7421875

RS: 4105
T: 83.55617717909627
M: 341.7421875

RS: 4105
T: 83.1584179350175
M: 341.7421875

RS: 4105
T: 83.58671736903489
M: 341.7421875

RS: 4105
T: 83.90951916016638
M: 341.7421875

RS: 4105
T: 84.12096786894836
M: 341.7421875

RS: 4105
T: 84.07411970710382
M: 341.7421875

RS: 4105
T: 82.52111918409355
M: 341.7421875

RS: 4105
T: 83.38274036184885
M: 341.7421875

RS: 4105
T: 83.41818334697746
M: 341.7421875

RS: 4105
T: 83.80696081393398
M: 341.7421875

RS: 4105
T: 83.6263863130007
