2024-04-23 04:10:55.677141
dataset='wikispeedia'
prog='iCentral'
max_runs=1000
max_secs=40000

graph size: N=4179, E=50500
Subgraphing: lcc
Graph read time:
0.3628222639672458

Run times:
RS: 1394
T: 49.93818372883834
M: 340.68359375

RS: 1575
T: 58.06816519610584
M: 341.234375

RS: 1842
T: 65.32805251888931
M: 342.828125

RS: 1266
T: 46.04159771907143
M: 342.828125

RS: 2520
T: 89.52645095507614
M: 342.828125

RS: 2008
T: 72.26830766792409
M: 342.828125

RS: 2507
T: 89.03438023105264
M: 342.828125

RS: 3379
T: 120.01063518691808
M: 343.96875

RS: 1671
T: 59.170856032986194
M: 343.96875

RS: 2095
T: 73.92015979113057
M: 345.45703125

RS: 3059
T: 107.28995486116037
M: 345.45703125

RS: 1520
T: 53.7278511619661
M: 345.45703125

RS: 1151
T: 40.79753748397343
M: 345.45703125

RS: 2646
T: 94.01040732813999
M: 345.46484375

RS: 2325
T: 81.67611992405728
M: 345.46484375

RS: 1010
T: 35.375831046840176
M: 345.46484375

RS: 1483
T: 52.25355809414759
M: 345.46484375

RS: 2134
T: 75.56325576407835
M: 345.46484375

RS: 1550
T: 54.132384644821286
M: 345.46484375

RS: 1524
T: 53.9780469678808
M: 345.46484375

RS: 1792
T: 62.97282461402938
M: 345.46484375

RS: 2573
T: 90.29732879786752
M: 345.46484375

RS: 832
T: 29.69228146993555
M: 345.46484375

RS: 3088
T: 107.89367836015299
M: 345.46484375

RS: 1269
T: 45.03449382283725
M: 345.46484375

RS: 3804
T: 133.87258046492934
M: 345.46484375

RS: 2119
T: 74.46244503092021
M: 345.46484375

RS: 1537
T: 54.718329115072265
M: 345.46484375

RS: 994
T: 35.57656647497788
M: 345.46484375

RS: 2010
T: 71.4277721340768
M: 345.46484375

RS: 1631
T: 57.519215382868424
M: 345.46484375

RS: 1288
T: 45.4790570740588
M: 345.46484375

RS: 1694
T: 59.50852320413105
M: 345.46484375

RS: 981
T: 34.43512538494542
M: 345.46484375

RS: 996
T: 34.901976697845384
M: 345.46484375

RS: 2461
T: 86.91716695204377
M: 345.46484375

RS: 1482
T: 52.377354374853894
M: 346.7421875

RS: 1119
T: 39.41953734611161
M: 346.7421875

RS: 2455
T: 85.96051081293263
M: 346.7421875

RS: 1519
T: 53.806468210183084
M: 346.7421875

RS: 3271
T: 114.95133385504596
M: 346.7421875

RS: 2661
T: 93.48570795007981
M: 347.1171875

RS: 1660
T: 58.400533992797136
M: 347.1171875

RS: 2120
T: 74.61637382698245
M: 347.1171875

RS: 1199
T: 41.99444898311049
M: 347.1171875

RS: 2042
T: 72.35558577394113
M: 347.1171875

RS: 2662
T: 92.84465315309353
M: 347.1171875

RS: 1698
T: 59.403396463021636
M: 347.1171875

RS: 1458
T: 51.38914859597571
M: 347.1171875

RS: 2079
T: 73.07006389088929
M: 347.1171875

RS: 995
T: 35.17066417308524
M: 347.1171875

RS: 2333
T: 81.35372391203418
M: 347.1171875

RS: 1562
T: 55.15266676200554
M: 347.1171875

RS: 1557
T: 54.98224763502367
M: 347.1171875

RS: 3102
T: 108.15478901308961
M: 347.1171875

RS: 2165
T: 75.38218896393664
M: 347.1171875

RS: 1813
T: 63.8164477518294
M: 347.1171875

RS: 1036
T: 36.891258464893326
M: 347.1171875

RS: 1609
T: 56.328019936103374
M: 347.1171875

RS: 2066
T: 72.3906929329969
M: 347.1171875

RS: 1557
T: 54.183056948008016
M: 347.1171875

RS: 1746
T: 62.05216982983984
M: 347.1171875

RS: 1834
T: 64.37037543300539
M: 347.1171875

RS: 1650
T: 58.149124030955136
M: 347.1171875

RS: 1268
T: 44.800917899934575
M: 347.1171875

RS: 1737
T: 61.19770879414864
M: 347.1171875

RS: 923
T: 37.530369494110346
M: 347.1171875

RS: 1456
T: 59.31702879094519
M: 347.1171875

RS: 2313
T: 93.25056520104408
M: 347.1171875

RS: 1616
T: 65.4601523920428
M: 347.1171875

RS: 3037
T: 120.98544234898873
M: 347.1171875

RS: 727
T: 29.672843581065536
M: 347.1171875

RS: 1081
T: 44.30989060900174
M: 347.1171875

RS: 2230
T: 89.75031286105514
M: 347.1171875

RS: 2705
T: 108.53518554707989
M: 347.1171875

RS: 1803
T: 73.05474951118231
M: 347.1171875

RS: 2193
T: 88.10257709096186
M: 347.1171875

RS: 1842
T: 74.16061935317703
M: 348.4375

RS: 1938
T: 78.46205781912431
M: 348.4375

RS: 1270
T: 51.414459771011025
M: 348.4375

RS: 1251
T: 50.438000300200656
M: 348.4375

RS: 1437
T: 57.85566431609914
M: 348.4375

RS: 1809
T: 72.86381207313389
M: 348.4375

RS: 1149
T: 46.05767867108807
M: 348.4375

RS: 1268
T: 51.15851474204101
M: 348.4375

RS: 878
T: 35.63815694581717
M: 348.4375

RS: 1235
T: 50.669388273963705
M: 348.4375

RS: 1861
T: 75.05834544193931
M: 348.4375

RS: 2201
T: 88.50158310309052
M: 348.4375

RS: 835
T: 34.26557054393925
M: 348.4375

RS: 1304
T: 52.55410788487643
M: 348.4375

RS: 1652
T: 66.90590142295696
M: 348.4375

RS: 1558
T: 62.9374699878972
M: 348.4375

RS: 2468
T: 99.40134045993909
M: 348.4375

RS: 1694
T: 68.21723108994775
M: 348.4375

RS: 1847
T: 73.82440599799156
M: 348.4375

RS: 1895
T: 75.8198352039326
M: 348.4375

RS: 1953
T: 79.06715461984277
M: 348.4375

RS: 1998
T: 80.628772753058
M: 348.4375

RS: 3259
T: 128.99580644699745
M: 348.4375

RS: 1587
T: 62.48119478998706
M: 348.4375

RS: 3718
T: 141.5588587410748
M: 348.4375

RS: 1765
T: 68.1494050049223
M: 348.4375

RS: 1970
T: 76.28135604900308
M: 348.4375

RS: 1351
T: 52.112125967862085
M: 348.4375

RS: 2427
T: 92.9090510790702
M: 348.4375

RS: 1353
T: 52.42483772803098
M: 348.4375

RS: 1638
T: 62.92393583804369
M: 348.4375

RS: 1660
T: 64.7145560909994
M: 348.4375

RS: 3181
T: 128.45541605888866
M: 348.4375

RS: 2867
T: 117.43139436701313
M: 348.4375

RS: 2609
T: 104.31426880997606
M: 348.4375

RS: 1496
T: 60.88486485299654
M: 348.4375

RS: 821
T: 34.20484789693728
M: 348.4375

RS: 1637
T: 67.06871913885698
M: 348.4375

RS: 1411
T: 57.15800221194513
M: 348.4375

RS: 2062
T: 83.58002326614223
M: 348.4375

RS: 1720
T: 71.14752511610277
M: 348.4375

RS: 1483
T: 61.84275815798901
M: 348.4375

RS: 2265
T: 91.46134412102401
M: 348.4375

RS: 2081
T: 85.41822283295915
M: 348.4375

RS: 728
T: 30.098421410890296
M: 348.4375

RS: 1141
T: 46.56682164501399
M: 348.4375

RS: 1846
T: 78.01872991095297
M: 348.4375

RS: 1156
T: 46.25144882197492
M: 348.4375

RS: 1003
T: 39.6395654019434
M: 348.4375

RS: 895
T: 33.63950823410414
M: 348.4375

RS: 1746
T: 66.09137874213047
M: 348.4375

RS: 3684
T: 147.9658804871142
M: 348.4375

RS: 3158
T: 129.40850447909907
M: 348.4375

RS: 1810
T: 73.61631399998441
M: 348.4375

RS: 1359
T: 55.47371716494672
M: 348.4375

RS: 2091
T: 84.35075855394825
M: 348.4375

RS: 2090
T: 82.66706332890317
M: 348.4375

RS: 1759
T: 67.8762721538078
M: 348.4375

RS: 1832
T: 72.52805464691482
M: 348.4375

RS: 3120
T: 125.4499961680267
M: 348.4375

RS: 1751
T: 69.79589722887613
M: 348.4375

RS: 2102
T: 82.88370880112052
M: 348.4375

RS: 1685
T: 65.86746809608303
M: 348.4375

RS: 3088
T: 120.83948071813211
M: 348.4375

RS: 1782
T: 70.43358528986573
M: 348.4375

RS: 1511
T: 58.55723386001773
M: 348.4375

RS: 2440
T: 99.55145585909486
M: 348.4375

RS: 1459
T: 62.06376895820722
M: 348.4375

RS: 1141
T: 48.85906227002852
M: 348.4375

RS: 4043
T: 168.6062336449977
M: 348.4375

RS: 1340
T: 56.57894919090904
M: 348.4375

RS: 1897
T: 79.63942226278596
M: 348.4375

RS: 1483
T: 62.24549604905769
M: 348.4375

RS: 1573
T: 66.62567666103132
M: 348.4375

RS: 861
T: 36.80926735396497
M: 348.4375

RS: 1465
T: 61.44450888107531
M: 348.4375

RS: 1811
T: 76.8799665379338
M: 348.4375

RS: 2576
T: 108.7998352420982
M: 348.4375

RS: 2234
T: 94.44675286114216
M: 348.4375

RS: 1277
T: 53.54160139919259
M: 348.46875

RS: 1294
T: 52.84874492697418
M: 349.62109375

RS: 1854
T: 78.20733437500894
M: 349.72265625

RS: 2519
T: 104.78551657916978
M: 349.7421875

RS: 3648
T: 152.42727419687435
M: 349.7421875

RS: 1687
T: 70.96520748897456
M: 349.7421875

RS: 3387
T: 141.3602932409849
M: 349.7421875

RS: 1800
T: 75.67957826983184
M: 349.7421875

RS: 2780
T: 116.11172944004647
M: 349.7421875

RS: 1331
T: 55.58315797592513
M: 349.7421875

RS: 1661
T: 70.71299292403273
M: 349.7421875

RS: 2041
T: 86.07849322096445
M: 349.7421875

RS: 732
T: 31.046479031909257
M: 349.7421875

RS: 1783
T: 74.98384093306959
M: 349.7421875

RS: 252
T: 10.738318856107071
M: 349.7421875

RS: 1304
T: 55.52904449100606
M: 349.7421875

RS: 1538
T: 64.44121341896243
M: 349.7421875

RS: 1226
