2024-04-23 05:45:47.453539
dataset='wikispeedia'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=4179, E=50500
Subgraphing: lcc
Graph read time:
0.3645220680627972

Run times:
RS: 1394
T: 8.697142202174291
M: 2608.55859375

RS: 1575
T: 15.57488240301609
M: 3739.2578125

RS: 1842
T: 10.831361741991714
M: 5009.28515625

RS: 1266
T: 16.293888778891414
M: 4475.8125

RS: 2520
T: 29.71809430909343
M: 4176.328125

RS: 2008
T: 23.628031068947166
M: 4180.18359375

RS: 2507
T: 36.51350612891838
M: 4006.83203125

RS: 3379
T: 70.85752516402863
M: 3753.1875

RS: 1671
T: 30.02348277810961
M: 3440.2109375

RS: 2095
T: 22.73393501690589
M: 3442.3359375

RS: 3059
T: 45.6339128180407
M: 4686.2109375

RS: 1520
T: 13.148814243031666
M: 3443.49609375

RS: 1151
T: 6.439684584969655
M: 4065.25

RS: 2646
T: 23.884463916998357
M: 4373.44921875

RS: 2325
T: 20.927190057002008
M: 4373.86328125

RS: 1010
T: 14.891078712884337
M: 3845.26953125

RS: 1483
T: 9.561324267880991
M: 4170.5859375

RS: 2134
T: 16.406409539980814
M: 4489.078125

RS: 1550
T: 7.838521647034213
M: 5159.8046875

RS: 1524
T: 12.149448330048472
M: 3155.734375

RS: 1792
T: 12.573300943011418
M: 4404.2734375

RS: 2573
T: 40.3561498450581
M: 4091.578125

RS: 832
T: 3.469524429179728
M: 5665.38671875

RS: 3088
T: 35.192265182966366
M: 4468.56640625

RS: 1269
T: 6.889805329032242
M: 4151.23828125

RS: 3804
T: 72.69377171504311
M: 3833.88671875

RS: 2119
T: 23.64140679896809
M: 4789.27734375

RS: 1537
T: 10.367646154947579
M: 3516.87109375

RS: 994
T: 5.514826781814918
M: 4468.859375

RS: 2010
T: 32.92785032000393
M: 3203.86328125

RS: 1631
T: 20.130819614045322
M: 4787.15234375

RS: 1288
T: 7.072231938131154
M: 3834.83203125

RS: 1694
T: 14.874693758785725
M: 4473.82421875

RS: 981
T: 4.324398844037205
M: 3835.4140625

RS: 996
T: 4.706692096078768
M: 4152.91015625

RS: 2461
T: 28.770950137171894
M: 5105.7265625

RS: 1482
T: 5.640522472094744
M: 5431.17578125

RS: 1119
T: 4.039095478132367
M: 4471.73828125

RS: 2455
T: 27.71658712113276
M: 4789.0859375

RS: 1519
T: 10.336855590110645
