2024-04-24 01:10:32.695215
dataset='chess'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=7115, E=55779
Subgraphing: lcc
Graph read time:
0.3979064228478819

Run times:
RS: 1994
T: 7.634533917997032
M: 6142.26953125

RS: 2613
T: 10.288962181890383
M: 6362.7578125

RS: 2166
T: 8.430866585113108
M: 6392.9453125

RS: 2601
T: 10.187133307103068
M: 6451.1875

RS: 2784
T: 11.597954554948956
M: 6510.01953125

RS: 2928
T: 10.43199382792227
M: 6524.265625

RS: 4168
T: 17.40180394705385
M: 6555.23828125

RS: 4942
T: 20.12038803496398
M: 6550.65625

RS: 3546
T: 14.28788910782896
M: 6669.83984375

RS: 3411
T: 13.349391125841066
M: 6671.25390625

RS: 1921
T: 7.28028329485096
M: 6670.8671875

RS: 4051
T: 14.172197137959301
M: 6672.64453125

RS: 2143
T: 9.011410571169108
M: 6669.58203125

RS: 2050
T: 8.016532788053155
M: 6662.6796875

RS: 2253
T: 8.965485371882096
M: 6672.43359375

RS: 2324
T: 8.94305358803831
M: 6672.66015625

RS: 2181
T: 9.294346591923386
M: 6671.74609375

RS: 1739
T: 6.252680303994566
M: 6673.0625

RS: 3791
T: 16.34511797898449
M: 6676.14453125

RS: 2209
T: 8.376500695943832
M: 6674.0

RS: 2335
T: 8.479635782074183
M: 6674.17578125

RS: 5428
T: 19.917722687125206
M: 6672.671875

RS: 3846
T: 13.923017259920016
M: 6678.24609375

RS: 4287
T: 15.434760860865936
M: 6678.4765625

RS: 4165
T: 16.310406238073483
M: 6670.58203125

RS: 2394
T: 8.961446346947923
M: 6676.5546875

RS: 2510
T: 9.282045916188508
M: 6677.01171875

RS: 2218
T: 7.860612117219716
M: 6675.625

RS: 5714
T: 21.447749509941787
M: 6681.06640625

RS: 1954
T: 9.405943319899961
M: 6678.359375

RS: 1172
T: 4.262383004184812
M: 6676.0390625

RS: 3385
T: 11.88082632701844
M: 6683.859375

RS: 2062
T: 7.7196022919379175
M: 6671.84765625

RS: 1859
T: 6.551600508857518
M: 6678.73828125

RS: 4042
T: 14.802478153957054
M: 6685.90625

RS: 1591
T: 6.438704439904541
M: 6676.33203125

RS: 3330
T: 12.910199988167733
M: 6684.921875

RS: 2451
T: 10.252391413087025
M: 6702.74609375

RS: 3233
T: 11.2681054410059
M: 6681.8125

RS: 1986
T: 7.645940868882462
M: 6681.2265625

RS: 1920
T: 7.743999246042222
M: 6690.546875

RS: 4522
T: 14.952334339963272
M: 6684.3984375

RS: 2359
T: 8.347572463098913
M: 6682.5546875

RS: 1863
T: 6.851203253958374
M: 6693.89453125

RS: 2300
T: 7.785116958897561
M: 6682.84765625

RS: 2995
T: 10.22479291097261
M: 6708.8125

RS: 3574
T: 12.583805419970304
M: 6677.7578125

RS: 2785
T: 9.649565276922658
M: 6685.671875

RS: 5483
T: 17.774471445009112
M: 6742.08984375

