2024-04-24 01:10:32.489424
dataset='elec'
prog='iCentral'
max_runs=1000
max_secs=40000

graph size: N=7066, E=100721
Subgraphing: lcc
Graph read time:
0.27610473698587157

Run times:
RS: 887
RS: 887
T: 85.91223989499849
M: 348.83984375

RS: 1579
RS: 1579
T: 144.7896452800196
M: 349.36328125

RS: 1322
RS: 1322
T: 121.56905267800903
M: 347.52734375

RS: 1374
RS: 1374
T: 126.8888904049818
M: 355.83984375

RS: 1311
RS: 1311
T: 121.08522637400893
M: 356.44140625

RS: 1376
RS: 1376
T: 130.14488834000076
M: 351.07421875

RS: 1586
RS: 1586
T: 146.58688939901185
M: 367.89453125

RS: 1489
RS: 1489
T: 138.17957797800773
M: 367.89453125

RS: 1479
RS: 1479
T: 137.37147843901766
M: 373.28125

RS: 3372
RS: 3372
T: 312.59431328900973
M: 373.28125

RS: 1338
RS: 1338
T: 124.00506946101086
M: 360.62890625

RS: 1027
RS: 1027
T: 94.66855562699493
M: 349.46875

RS: 4068
RS: 4068
T: 348.9731353879906
M: 350.69140625

RS: 1289
RS: 1289
T: 119.9076598950196
M: 355.29296875

RS: 1418
RS: 1418
T: 135.2019548859971
M: 361.16015625

RS: 3183
RS: 3183
T: 290.4232517580094
M: 361.16015625

RS: 1121
RS: 1121
T: 104.27382200397551
M: 349.67578125

RS: 2221
RS: 2221
T: 205.98975971800974
M: 352.6328125

RS: 2579
RS: 2579
T: 235.9616974600067
M: 350.98046875

RS: 1482
RS: 1482
T: 139.9042445619998
M: 349.9140625

RS: 1447
RS: 1447
T: 134.3870340680005
M: 362.38671875

RS: 1223
RS: 1223
T: 112.77088370500132
M: 349.76171875

RS: 1586
RS: 1586
T: 146.2681189230061
M: 358.84765625

RS: 2791
RS: 2791
T: 257.0478961649933
M: 357.5234375

RS: 1748
RS: 1748
T: 161.60630792399752
M: 355.0546875

RS: 1140
RS: 1140
T: 105.87508302400238
M: 359.99609375

RS: 2739
RS: 2739
T: 250.10689064499456
M: 359.99609375

RS: 2739
RS: 2739
T: 238.32490806499845
M: 353.9375

RS: 1749
RS: 1749
T: 163.19237209801213
M: 353.9375

RS: 2749
RS: 2749
T: 251.8509840290062
M: 359.15625

RS: 2377
RS: 2377
T: 220.7149992279883
M: 355.421875

RS: 1562
RS: 1562
T: 143.3526418179972
M: 353.59765625

RS: 902
RS: 902
T: 82.7490343520185
M: 353.59765625

RS: 1501
RS: 1501
T: 141.78975642999285
M: 353.59765625

RS: 2576
RS: 2576
T: 236.79719526000554
M: 353.59765625

RS: 1248
RS: 1248
T: 115.28966461200616
M: 354.50390625

RS: 1244
RS: 1244
T: 105.5917488450068
M: 373.140625

RS: 2456
RS: 2456
T: 200.71187632597866
M: 373.14453125

RS: 847
RS: 847
T: 70.3001635929977
M: 373.14453125

RS: 2299
RS: 2299
T: 188.94356159499148
M: 373.1484375

RS: 1124
RS: 1124
T: 96.5649799600069
M: 373.1484375

RS: 3097
RS: 3097
T: 254.31295495899394
M: 373.1484375

RS: 1911
RS: 1911
T: 163.80972630399629
M: 373.1484375

RS: 1445
RS: 1445
T: 132.84433927500504
M: 373.1484375

RS: 1533
RS: 1533
T: 139.36236988398014
M: 373.1484375

RS: 1967
RS: 1967
T: 182.08009602999664
M: 373.1484375

RS: 1433
RS: 1433
T: 135.44120982300956
M: 373.1484375

RS: 1816
RS: 1816
T: 166.8924457130197
M: 373.1484375

RS: 1747
RS: 1747
T: 160.5910711439792
M: 373.1484375

RS: 1317
RS: 1317
T: 124.75638004299253
M: 373.1484375

RS: 2159
RS: 2159
T: 197.33194605101016
M: 373.1484375

RS: 1637
RS: 1637
T: 149.43310985300923
M: 373.1484375

RS: 1080
RS: 1080
T: 104.38148151099449
M: 373.1484375

RS: 2070
RS: 2070
T: 187.23485749500105
M: 373.1484375

RS: 1828
RS: 1828
T: 168.4624087419943
M: 373.1484375

RS: 569
RS: 569
T: 54.425412537995726
M: 373.1484375

RS: 1255
RS: 1255
T: 107.03714561698143
M: 373.16015625

RS: 2342
RS: 2342
T: 210.71750551997684
M: 373.16015625

RS: 1554
RS: 1554
T: 147.73644202700234
M: 373.16015625

RS: 1984
RS: 1984
T: 180.93230020199553
M: 373.16015625

RS: 1483
RS: 1483
T: 138.0067268589919
M: 374.7578125

RS: 1570
RS: 1570
T: 142.17403526901035
M: 374.7578125

RS: 2361
RS: 2361
T: 215.2743320069858
M: 374.7578125

RS: 1146
RS: 1146
T: 106.93394098000135
M: 374.7578125

RS: 1598
RS: 1598
T: 146.03509539100924
M: 366.61328125

RS: 1259
RS: 1259
T: 116.3296303160023
M: 366.61328125

RS: 2487
RS: 2487
T: 224.38686956098536
M: 366.61328125

RS: 1730
RS: 1730
T: 159.08747864398174
M: 366.61328125

RS: 3328
RS: 3328
T: 296.62850444801734
M: 366.61328125

RS: 1257
RS: 1257
T: 118.37485719899996
M: 366.61328125

RS: 1133
RS: 1133
T: 102.95090410701232
M: 366.61328125

RS: 1462
RS: 1462
T: 132.00883662101114
M: 366.61328125

RS: 2225
RS: 2225
T: 204.78687798898318
M: 366.61328125

RS: 1337
RS: 1337
T: 120.86197386699496
M: 366.61328125

RS: 3136
RS: 3136
T: 279.1592834540061
M: 366.61328125

RS: 1426
RS: 1426
T: 128.7842451829929
M: 366.61328125

RS: 1601
RS: 1601
T: 149.68886338899028
M: 366.61328125

RS: 3040
RS: 3040
T: 273.0094555160031
M: 371.73046875

RS: 1293
RS: 1293
T: 120.9048480859783
M: 371.734375

RS: 3690
