2024-04-24 01:10:31.407004
dataset='elec'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=7066, E=100721
Subgraphing: lcc
Graph read time:
0.3442182010039687

Run times:
RS: 887
T: 4.148198453010991
M: 6302.3359375

RS: 1579
T: 6.634147339034826
M: 6644.05078125

RS: 1322
T: 5.529095119098201
M: 6682.984375

RS: 1374
T: 5.530431819148362
M: 6681.36328125

RS: 1311
T: 5.352087502833456
M: 6675.578125

RS: 1376
T: 5.733982575125992
M: 6681.74609375

RS: 1586
T: 6.4635406259913
M: 6684.41796875

RS: 1489
T: 6.4240190321579576
M: 6685.6640625

RS: 1479
T: 6.103994996054098
M: 6686.09375

RS: 3372
T: 13.434953469084576
M: 6686.12890625

RS: 1338
T: 5.679392452118918
M: 6690.5390625

RS: 1027
T: 4.336965679889545
M: 6681.109375

RS: 4068
T: 15.826398645062
M: 6695.6875

RS: 1289
T: 5.417331180069596
M: 6687.04296875

RS: 1418
T: 5.729479792993516
M: 6683.8984375

RS: 3183
T: 12.201633343938738
M: 6693.1875

RS: 1121
T: 4.686784317018464
M: 6681.31640625

RS: 2221
T: 9.057627405039966
M: 6695.5234375

RS: 2579
T: 9.991423534229398
M: 6693.50390625

RS: 1482
T: 6.417738405056298
M: 6687.0

RS: 1447
T: 5.905359633965418
M: 6694.93359375

RS: 1223
T: 5.109365918906406
M: 6688.61328125

RS: 1586
T: 6.601510164793581
M: 6692.015625

RS: 2791
T: 10.752971275011078
M: 6695.16796875

RS: 1748
T: 7.005120076937601
M: 6777.02734375

RS: 1140
T: 4.972514850785956
M: 6788.16796875

RS: 2739
T: 10.748656823066995
M: 6790.66796875

RS: 2739
T: 10.807902282802388
M: 6792.046875

RS: 1749
T: 6.996127201942727
M: 6788.08203125

RS: 2749
T: 10.909747648984194
M: 6824.44921875

RS: 2377
T: 9.401941037969664
M: 6829.08984375

RS: 1562
T: 6.390774999978021
M: 6829.0234375

RS: 902
