2024-04-24 01:10:33.027198
dataset='email-EuAll'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=224832, E=340795
Subgraphing: lcc
Graph read time:
2.688781450036913

Run times:
RS: 25463
T: 454.97835799399763
M: 22450.76171875

RS: 16894
T: 307.8700272969436
M: 22931.2734375

RS: 16274
T: 287.50554273999296
M: 23193.52734375

RS: 12910
T: 232.83850078796968
M: 22972.82421875

RS: 30153
T: 539.814645747887
M: 23023.8203125

RS: 14856
T: 263.8411671698559
M: 22898.28515625

RS: 32817
T: 586.0067538619041
M: 22926.67578125

RS: 17957
T: 322.8837598511018
M: 22929.69921875

RS: 10403
T: 190.30154919694178
M: 22915.515625

RS: 13512
T: 245.10352923208848
M: 22916.625

RS: 32809
T: 581.1265810991172
M: 23033.484375

RS: 7155
T: 129.66113152704202
M: 23282.421875

RS: 25949
T: 462.52409592899494
M: 23242.19140625

RS: 24615
T: 441.4085473229643
M: 23203.9296875

RS: 18487
T: 329.93507590400986
M: 22976.62890625

RS: 29308
T: 520.9830101570114
M: 23089.5

RS: 31487
T: 560.6984335479792
M: 23037.3828125

RS: 26099
T: 460.89340139296837
M: 23205.7578125

RS: 29653
T: 527.87301831902
M: 24379.8671875

RS: 13723
T: 245.5963884771336
M: 23260.78515625

RS: 18244
T: 327.1127599279862
M: 23001.46484375

RS: 34050
T: 592.6889537370298
M: 23083.66796875

RS: 25336
T: 446.6284479619935
M: 22968.734375

RS: 15464
T: 280.2568805119954
M: 23055.26171875

RS: 9553
T: 172.1732794069685
M: 22873.4921875

RS: 26707
T: 494.28962179180235
M: 23031.9375

RS: 28793
T: 537.9998538591899
M: 23031.6015625

RS: 9610
T: 179.47068131784908
M: 23127.8046875

RS: 12798
T: 243.14644145197235
M: 24318.26171875

RS: 9473
T: 173.45499444007874
M: 23081.7578125

RS: 25976
T: 474.75437503890134
M: 23386.33203125

RS: 34533
T: 629.8889882059302
M: 23325.58203125

RS: 20336
T: 373.9029552328866
M: 23407.08984375

RS: 14296
T: 263.6931971909944
M: 23999.8984375

RS: 34164
T: 621.6047904451843
M: 24259.08203125

RS: 10004
T: 182.42225031508133
M: 23132.05078125

RS: 8146
T: 152.266277091112
M: 22892.46875

RS: 14799
T: 272.09117403114215
M: 23684.68359375

RS: 32601
T: 591.7875388509128
M: 23668.76953125

RS: 23770
T: 436.56027801311575
M: 23800.3984375

RS: 35066
T: 636.0548144490458
M: 23800.66015625

RS: 0
T: 3.2088324308861047
M: 2290.1328125

RS: 9973
T: 182.53557595587336
M: 23800.6640625

RS: 12697
T: 231.7938512370456
M: 23801.58203125

RS: 31169
T: 565.8068092879839
M: 23801.953125

RS: 19593
T: 360.6956839999184
M: 23801.75390625

RS: 24332
T: 443.87339123990387
M: 23219.9609375

RS: 17047
T: 309.33768063108437
M: 23097.52734375

RS: 20917
T: 383.58570279181004
M: 23214.3203125

RS: 29627
T: 537.931059791008
M: 23196.66015625

RS: 34548
T: 625.3339077541605
M: 23461.55078125

RS: 33994
T: 615.0083336678799
M: 23677.515625

RS: 33514
T: 607.9339523420203
M: 24175.015625

RS: 7308
T: 136.03024887200445
M: 23143.046875

RS: 30498
T: 555.0143487821333
M: 24033.546875

RS: 25992
T: 473.9542003949173
M: 23831.97265625

RS: 23569
T: 431.9933317240793
M: 23880.26953125

RS: 26692
T: 486.46965770306997
M: 23118.98828125

RS: 11824
T: 219.67629082500935
M: 22990.98046875

RS: 13691
T: 252.6142612339463
M: 23031.375

RS: 32135
T: 583.0832193340175
M: 23085.7578125

RS: 33265
T: 599.433954105014
M: 23317.8984375

RS: 33059
T: 600.1657554700505
M: 23135.5625

RS: 7342
T: 138.72845521010458
M: 22991.2734375

RS: 13298
T: 241.13708195998333
M: 23133.30078125

RS: 21387
T: 394.352439397946
M: 23151.0

RS: 35707
T: 647.3872890330385
M: 23230.59375

RS: 24922
T: 454.73192255804315
M: 23208.9453125

RS: 19216
T: 352.6650345691014
M: 23143.99609375

RS: 22285
T: 405.9834840700496
M: 23475.72265625

RS: 15874
T: 296.22257645009086
M: 24178.4375

RS: 32614
T: 594.4815755791496
M: 23245.34375

RS: 11893
T: 221.58643214590847
M: 23933.765625

RS: 19048
T: 353.7341553270817
M: 23600.96484375

RS: 30089
T: 549.283347009914
M: 23492.44921875

RS: 32293
T: 588.1521660101134
M: 24144.13671875

RS: 35175
T: 640.9002749470528
M: 23220.1015625

RS: 14735
T: 266.0589917798061
M: 23930.984375

RS: 33086
T: 564.2729487260804
M: 23530.16015625

RS: 25040
T: 429.15756695810705
M: 23594.9453125

RS: 27962
T: 475.04554713191465
M: 23708.5859375

RS: 35235
T: 597.7969925969373
M: 24292.4765625

RS: 16218
T: 277.18062720494345
M: 23479.43359375

RS: 32704
T: 564.3677732450888
M: 23191.80078125

RS: 29510
T: 526.1409150131512
M: 23136.21484375

RS: 32282
T: 590.8969688848592
M: 23184.54296875

RS: 29283
T: 516.6420999839902
M: 23307.7265625

RS: 28388
T: 503.30912427883595
M: 23166.96484375

RS: 28796
T: 508.07546587102115
M: 23316.08203125

RS: 12427
T: 234.10422978410497
M: 24982.2578125

RS: 26961
T: 496.2203722689301
M: 23168.06640625

RS: 11524
T: 214.2522998629138
M: 23860.80859375

RS: 14443
T: 267.79116646409966
M: 23604.54296875

RS: 13155
T: 243.88598871603608
M: 22788.953125

RS: 15963
T: 297.0931074209511
M: 23121.77734375

RS: 27797
T: 493.8020985019393
M: 23058.85546875

RS: 34620
T: 598.6272576469928
M: 23387.5703125

RS: 32636
T: 554.1721729289275
M: 23373.55859375

