2024-04-24 01:10:33.852478
dataset='pajek-erdos'
prog='LeeBCC'
max_runs=1000
max_secs=40000

graph size: N=6927, E=11850
Subgraphing: lcc
Graph read time:
0.1453806108329445

Run times:
RS: 2145
RS: 2145
T: 21.574638905003667
M: 322.7734375

RS: 2145
RS: 2145
T: 21.199681975878775
M: 325.9765625

RS: 2145
RS: 2145
T: 21.097039783140644
M: 326.05859375

RS: 2145
RS: 2145
T: 21.154324684059247
M: 327.53515625

RS: 2145
RS: 2145
T: 21.077351273968816
M: 327.5546875

RS: 2145
RS: 2145
T: 21.060237555066124
M: 328.25

RS: 2145
RS: 2145
T: 20.79226866690442
M: 328.25390625

RS: 2145
RS: 2145
T: 20.865996834123507
M: 329.23828125

RS: 2145
RS: 2145
T: 20.94370086095296
M: 330.23828125

RS: 2145
RS: 2145
T: 20.86044903798029
M: 330.26953125

RS: 2145
RS: 2145
T: 20.992548356065527
M: 330.26953125

RS: 2145
RS: 2145
T: 20.979841572931036
M: 330.27734375

RS: 2145
RS: 2145
T: 20.98811977985315
M: 330.27734375

RS: 2145
RS: 2145
T: 20.864894344005734
M: 330.27734375

RS: 2145
RS: 2145
T: 20.93934507900849
M: 330.27734375

RS: 2145
RS: 2145
T: 21.07656073383987
M: 330.27734375

RS: 2145
RS: 2145
T: 20.847095699049532
M: 330.27734375

RS: 2145
RS: 2145
T: 20.81561708985828
M: 330.27734375

RS: 2145
RS: 2145
T: 20.863422225927934
M: 330.27734375

RS: 2145
RS: 2145
T: 20.927663489012048
M: 330.27734375

RS: 2145
RS: 2145
T: 20.906039081979543
M: 330.4375

RS: 2145
RS: 2145
T: 21.000821072841063
M: 330.44140625

RS: 2145
RS: 2145
T: 20.852136119967327
M: 330.44140625

RS: 2145
RS: 2145
T: 20.87617191602476
M: 330.44140625

RS: 2145
RS: 2145
T: 21.0842338190414
M: 330.44140625

RS: 2145
RS: 2145
T: 20.89674996607937
M: 330.44140625

RS: 2145
RS: 2145
T: 21.032582049025223
M: 330.44140625

RS: 2145
RS: 2145
T: 21.030648802872747
M: 330.44140625

RS: 2145
RS: 2145
T: 21.125381485093385
M: 330.44140625

RS: 2145
RS: 2145
T: 21.043554548174143
M: 330.44140625

RS: 2145
RS: 2145
T: 21.076380293816328
M: 330.44140625

RS: 2145
RS: 2145
T: 20.92795199295506
M: 330.44140625

RS: 2145
RS: 2145
T: 20.963770696893334
M: 330.44140625

RS: 2145
RS: 2145
T: 21.085553903132677
M: 330.44140625

RS: 2145
RS: 2145
T: 20.902961942134425
M: 330.44140625

RS: 2145
RS: 2145
T: 20.8804388390854
M: 330.44140625

RS: 2145
RS: 2145
T: 20.90747231990099
M: 330.44140625

RS: 2145
RS: 2145
