2024-04-24 01:10:31.708788
dataset='slashdot-zoo'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=79116, E=467731
Subgraphing: lcc
Graph read time:
2.094267711043358

Run times:
RS: 26737
T: 1448.5668276050128
M: 20353.9921875

RS: 13792
T: 755.5712895449251
M: 21208.37890625

RS: 14536
T: 785.2520762851927
M: 21234.9296875

RS: 15777
T: 863.2808643179014
M: 21393.5078125

RS: 18674
T: 1003.97496478213
M: 21400.359375

RS: 26252
T: 1407.4028563511092
M: 21606.7265625

RS: 11006
T: 592.80129850097
M: 21528.859375

RS: 15184
T: 822.3290112719405
M: 21543.6015625

RS: 18317
T: 982.4248416258488
M: 21629.5

RS: 13661
T: 725.7342263110913
M: 21825.00390625

RS: 17857
T: 973.4040761000942
M: 21466.60546875

RS: 32125
T: 1719.6684445608407
M: 21761.0703125

RS: 24570
T: 1328.4129310071003
M: 21580.609375

RS: 26480
T: 1426.2900297050364
M: 21685.25390625

RS: 16270
T: 870.3675931850448
M: 21844.11328125

RS: 15448
T: 839.8886134978384
M: 21723.09765625

RS: 22094
T: 1179.209163254127
M: 21840.640625

RS: 38980
T: 2080.378357763868
M: 22094.37109375

RS: 25901
T: 1376.8853639170993
M: 22013.68359375

RS: 22782
T: 1207.440374928061
M: 21833.7421875

RS: 13088
T: 689.5410323748365
M: 21953.47265625

RS: 33631
T: 1809.808672642801
M: 22112.63671875

RS: 16677
T: 894.4029351728968
M: 22131.453125

RS: 15661
T: 833.4663100859616
M: 21904.81640625

RS: 23231
T: 1209.190398562001
M: 21848.24609375

RS: 19933
T: 1034.542687302921
M: 21937.17578125

RS: 33666
T: 1749.424403595971
M: 21987.06640625

RS: 44792
T: 2303.875208802987
M: 22119.29296875

RS: 39099
T: 2011.1617287599947
M: 22142.203125

RS: 36382
T: 1868.2106617749669
M: 22263.35546875

RS: 48161
T: 2570.46731377393
M: 22028.18359375

RS: 16463
T: 867.7783998970408
M: 22050.375

