2024-04-24 01:10:31.708949
dataset='sx-mathoverflow'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=24668, E=199851
Subgraphing: lcc
Graph read time:
1.0229785030242056

Run times:
RS: 8863
T: 153.2283408048097
M: 9451.67578125

RS: 13076
T: 266.1743072429672
M: 9797.51171875

RS: 10204
T: 198.94014448602684
M: 9994.21875

RS: 0
T: 0.789027389138937
M: 844.796875

RS: 5514
T: 96.87678855098784
M: 10009.91796875

RS: 9910
T: 164.23920898302458
M: 9792.78515625

RS: 12180
T: 242.80515374382958
M: 9845.734375

RS: 6475
T: 117.86154021997936
M: 9745.625

RS: 15702
T: 250.48576086713
M: 9863.45703125

RS: 16918
T: 286.19988306215964
M: 9813.38671875

RS: 0
T: 2.6151278680190444
M: 847.78125

RS: 6457
T: 103.4779770609457
M: 9744.1796875

RS: 0
T: 2.362129949964583
M: 849.94140625

RS: 9460
T: 156.32935689692385
M: 9792.51171875

RS: 8366
T: 135.9906537111383
M: 9755.21484375

RS: 7542
T: 144.90547737502493
M: 9808.08203125

RS: 5836
T: 117.44865745911375
M: 9864.58203125

RS: 9653
T: 182.848038086202
M: 10086.6328125

RS: 6865
T: 114.72858327813447
M: 10008.23828125

RS: 9793
T: 177.0785325039178
M: 10152.53125

RS: 18163
T: 303.2038677081
M: 10238.6953125

RS: 10816
T: 179.73765328293666
M: 10136.046875

RS: 16678
T: 282.22396881110035
M: 10260.2109375

RS: 16232
T: 275.15261490107514
M: 10252.04296875

RS: 15079
T: 252.02095262007788
M: 10259.48828125

RS: 14774
T: 300.1757352359127
M: 10278.78125

RS: 5277
T: 105.18004215904512
M: 10184.59375

RS: 10380
T: 185.35000321292318
M: 10117.10546875

RS: 12274
T: 250.83847844507545
M: 10149.4921875

RS: 12530
T: 205.1062090350315
M: 10129.765625

RS: 11554
T: 229.9591749261599
M: 10043.25

RS: 4850
T: 99.22256220993586
M: 9958.77734375

RS: 3233
T: 56.72248155204579
M: 10070.76171875

RS: 5887
T: 120.88785093394108
M: 10079.62890625

RS: 16539
T: 333.32069313293323
M: 10069.10546875

RS: 5967
T: 119.688355732942
M: 10004.3671875

RS: 0
T: 2.39345229184255
M: 862.234375

RS: 5014
T: 89.23552857991308
M: 10175.3359375

RS: 6578
T: 134.19614397594705
M: 10123.96875

RS: 11738
T: 191.4759682600852
M: 9952.60546875

RS: 8677
T: 184.7878376331646
M: 10040.02734375

RS: 5339
T: 85.6448787539266
M: 10009.078125

RS: 7225
T: 134.21358383703046
M: 9952.4296875

RS: 10350
T: 169.55334588489495
M: 10070.4375

RS: 5107
T: 84.85102938604541
M: 9927.23828125

RS: 15659
T: 307.63817646401003
M: 10043.5078125

RS: 5921
T: 98.2470819929149
M: 9955.6328125

RS: 18156
T: 346.47978879790753
M: 10076.53515625

RS: 9074
T: 175.76733545586467
M: 10017.5390625

RS: 18409
T: 299.65018145996146
M: 10070.98828125

RS: 7815
T: 125.39988455711864
M: 10011.07421875

RS: 3948
T: 67.44970899191685
M: 9940.0546875

RS: 4404
T: 74.48709459300153
M: 9944.2109375

RS: 11543
T: 189.8039823109284
M: 10003.6328125

RS: 18162
T: 307.5244240250904
M: 10102.17578125

RS: 16684
T: 315.40636927401647
M: 10095.7109375

RS: 5985
T: 124.56568541494198
M: 9966.95703125

RS: 8960
T: 149.5522193228826
M: 9998.63671875

RS: 6528
T: 127.45898763719015
M: 9968.6875

RS: 4474
T: 74.33245281409472
M: 9966.28125

RS: 5674
T: 93.02401805110276
M: 10044.91015625

RS: 4923
T: 80.22315764403902
M: 10050.93359375

RS: 10415
T: 171.10253576701507
M: 10041.66796875

RS: 12425
T: 249.23162199091166
M: 10049.8984375

RS: 15305
T: 249.75973114115186
M: 10056.2734375

RS: 18593
T: 301.0076352960896
M: 10044.87890625

RS: 4144
T: 70.15641217213124
M: 10072.26171875

RS: 14548
T: 237.76414705603383
M: 10068.7265625

