2024-04-25 02:37:06.132983
dataset='chess'
prog='LeeBCC'
max_runs=1000
max_secs=40000

graph size: N=7115, E=55779
Subgraphing: lcc
Graph read time:
0.2858579510357231

Current memory usage:
M: 196.8125
Run times:
RS: 6250
T: 246.50978507800028
M: 545.390625

RS: 6250
T: 239.74144719704054
M: 647.87109375

RS: 6250
T: 249.28391428897157
M: 664.77734375

RS: 6250
T: 257.9693819801323
M: 668.03125

RS: 6250
T: 262.11475289892405
M: 659.234375

RS: 6250
T: 267.4030188228935
M: 663.7265625

RS: 6250
T: 268.1943167960271
M: 663.78125

RS: 6250
T: 251.72264856100082
M: 663.76953125

RS: 6250
T: 235.50209776195697
M: 664.09765625

RS: 6250
T: 239.4907402631361
M: 665.1171875

RS: 6250
T: 233.75290931691416
M: 668.3203125

RS: 6250
T: 258.4511267240159
M: 671.078125

RS: 6250
T: 279.47079670405947
M: 673.546875

RS: 6250
T: 283.11177570419386
M: 676.05078125

RS: 6250
T: 280.64597948407754
M: 676.03515625

RS: 6250
T: 281.15253374702297
M: 676.0703125

RS: 6250
T: 281.12154450290836
M: 676.0390625

RS: 6250
T: 283.7201843447983
M: 676.04296875

RS: 6250
T: 285.90635142917745
M: 676.046875

RS: 6250
T: 287.7356834001839
M: 675.765625

RS: 6250
T: 288.48667500703596
M: 675.76953125

RS: 6250
T: 286.88676033518277
M: 657.0

RS: 6250
T: 286.54941472411156
M: 661.40234375

RS: 6250
T: 286.1155345500447
M: 663.4375

RS: 6250
T: 287.7207261908334
M: 663.09375

RS: 6250
T: 285.4565245658159
M: 663.40625

RS: 6250
T: 286.91493955091573
M: 665.09375

RS: 6250
T: 286.14064319594763
M: 668.28515625

RS: 6250
T: 288.4432724020444
M: 669.7265625

RS: 6250
T: 286.5403003951069
M: 669.7578125

RS: 6250
T: 285.70430144201964
M: 669.4453125

RS: 6250
T: 284.51342610805295
M: 669.4140625

RS: 6250
T: 285.6728307888843
M: 669.7265625

RS: 6250
T: 285.99313097191043
M: 670.17578125

RS: 6250
T: 285.64674972416833
M: 670.65234375

RS: 6250
T: 284.4843637549784
M: 670.65625

RS: 6250
T: 283.9184238209855
M: 670.625

RS: 6250
T: 286.82929118489847
M: 670.65625

RS: 6250
T: 285.80165937682614
M: 670.625

RS: 6250
T: 285.451288373908
M: 670.65625

RS: 6250
T: 283.9804800231941
M: 670.625

RS: 6250
T: 283.9030665708706
M: 670.31640625

RS: 6250
T: 286.0984354240354
M: 654.0859375

RS: 6250
T: 283.265934585128
M: 663.65234375

RS: 6250
T: 280.8096058170777
M: 670.7578125

RS: 6250
T: 275.9687491869554
M: 661.92578125

RS: 6250
T: 275.1372987709474
M: 668.48046875

RS: 6250
T: 275.2092669578269
M: 669.48828125

RS: 6250
T: 277.88583332207054
M: 660.61328125

RS: 6250
T: 276.7132168789394
M: 671.53125

RS: 6250
T: 277.19227541796863
M: 675.2421875

RS: 6250
T: 278.4994363000151
M: 674.9296875

RS: 6250
T: 278.4401828581467
M: 674.9296875

RS: 6250
T: 281.47745227301493
M: 674.9609375

RS: 6250
T: 279.3791273429524
M: 674.9296875

RS: 6250
T: 278.87567157903686
M: 674.95703125

RS: 6250
T: 279.01666882797144
M: 674.9296875

RS: 6250
T: 278.70353951095603
M: 674.9609375

RS: 6250
T: 278.26336448593065
M: 674.95703125

RS: 6250
T: 278.92525000101887
M: 674.9296875

RS: 6250
T: 278.78001135610975
M: 674.9609375

RS: 6250
T: 279.9153822551016
M: 674.9296875

RS: 6250
T: 279.0832406699192
M: 674.95703125

RS: 6250
T: 273.34787551802583
M: 674.9609375

RS: 6250
T: 275.8902922410052
M: 675.2734375

RS: 6250
T: 275.98405338218436
M: 674.9296875

RS: 6250
T: 275.0897334800102
M: 674.9296875

RS: 6250
T: 273.94817277695984
M: 674.9609375

RS: 6250
T: 275.28695146087557
M: 675.26953125

RS: 6250
T: 274.29609840293415
M: 674.9296875

RS: 6250
T: 273.9557039679494
M: 675.2734375

RS: 6250
T: 275.18239076505415
M: 675.2421875

RS: 6250
T: 275.0526008398738
M: 674.95703125

RS: 6250
T: 274.59300824208185
M: 675.2734375

RS: 6250
T: 276.12087548407726
M: 674.9296875

RS: 6250
T: 275.00273937312886
M: 674.9296875

RS: 6250
T: 274.381419417914
M: 674.9609375

RS: 6250
T: 274.5325523649808
M: 674.9296875

RS: 6250
T: 277.1398379798047
M: 658.328125

RS: 6250
T: 275.9568897099234
M: 658.359375

RS: 6250
T: 274.2264256181661
M: 658.328125

RS: 6250
T: 274.16254388401285
M: 661.48046875

RS: 6250
T: 274.9435154760722
M: 665.73046875

RS: 6250
T: 272.6569458800368
M: 666.91796875

RS: 6250
T: 273.75036952714436
M: 667.234375

RS: 6250
T: 274.9258111938834
M: 667.53125

RS: 6250
T: 278.3030126099475
M: 667.421875

RS: 6250
T: 277.7889009329956
M: 653.421875

RS: 6250
T: 277.5644083181396
M: 654.6015625

RS: 6250
T: 277.0827876578551
M: 659.26171875

RS: 6250
T: 275.15849731187336
M: 666.32421875

RS: 6250
T: 277.95391475898214
M: 669.69921875

RS: 6250
T: 275.94567071297206
M: 670.5546875

RS: 6250
T: 275.92961821099743
M: 670.5859375

RS: 6250
T: 275.9488872210495
M: 670.5546875

RS: 6250
T: 276.5632073751185
M: 670.58203125

RS: 6250
T: 275.4862444200553
M: 670.5546875

RS: 6250
T: 276.819264448015
M: 670.5859375

RS: 6250
T: 275.88188495417126
M: 670.5546875

RS: 6250
T: 277.5273811540101
M: 670.58203125

RS: 6250
T: 275.4502323649358
M: 670.5546875

RS: 6250
T: 275.58136390079744
M: 670.5859375

RS: 6250
T: 260.4235237429384
M: 671.02734375

RS: 6250
T: 279.3655219471548
M: 671.5

RS: 6250
T: 276.3910262589343
M: 671.53125

RS: 6250
T: 275.52182373101823
M: 671.5

RS: 6250
T: 278.29012631298974
M: 672.234375

RS: 6250
T: 276.9283255189657
M: 673.0

RS: 6250
T: 277.1691590291448
M: 672.96875

RS: 6250
T: 277.1802164900582
M: 672.97265625

RS: 6250
T: 276.0603075630497
M: 655.1875

RS: 6250
T: 277.6013947899919
M: 660.99609375

RS: 6250
T: 279.30720406002365
M: 666.8046875

RS: 6250
T: 277.88988795294426
M: 666.8046875

RS: 6250
T: 276.4576133429073
M: 668.76953125

RS: 6250
T: 275.5356117989868
M: 670.734375

RS: 6250
T: 276.88304915698245
M: 671.3984375

RS: 6250
T: 277.7839381170925
M: 673.39453125

RS: 6250
T: 276.7690471489914
M: 674.671875

RS: 6250
T: 277.1491433228366
M: 674.671875

RS: 6250
