2024-04-25 02:30:04.822503
dataset='chess'
prog='iCentral'
max_runs=1000
max_secs=40000

graph size: N=7115, E=55779
Subgraphing: lcc
Graph read time:
0.3557403839658946

Current memory usage:
M: 197.13671875
Run times:
RS: 1994
T: 92.58135823300108
M: 512.4375

RS: 2613
T: 126.03027090709656
M: 649.921875

RS: 2166
T: 102.79510384285823
M: 652.703125

RS: 2601
T: 121.88779577892274
M: 653.14453125

RS: 2784
T: 139.46512615401298
M: 652.5234375

RS: 2928
T: 138.42915594787337
M: 655.70703125

RS: 4168
T: 198.57581670512445
M: 655.70703125

RS: 4942
T: 248.4515195491258
M: 655.53125

RS: 3546
T: 181.91260409308597
M: 655.46484375

RS: 3411
T: 173.54598555201665
M: 653.30078125

RS: 1921
T: 99.57510958006606
M: 650.65625

RS: 4051
T: 214.4866419020109
M: 651.07421875

RS: 2143
T: 113.02603951888159
M: 642.078125

RS: 2050
T: 109.11419534403831
M: 651.26171875

RS: 2253
T: 119.53492324100807
M: 640.05078125

RS: 2324
T: 120.59937884402461
M: 651.94140625

RS: 2181
T: 108.73137695109472
M: 654.55078125

RS: 1739
T: 86.5668135380838
M: 654.6484375

RS: 3791
T: 178.74897315190174
M: 654.84375

RS: 2209
T: 105.68558656005189
M: 654.875

RS: 2335
T: 113.00551887601614
M: 655.5859375

RS: 5428
T: 252.98577311099507
M: 656.85546875

RS: 3846
T: 189.35908689908683
M: 656.859375

RS: 4287
T: 241.57075273105875
M: 656.61328125

RS: 4165
T: 235.95809591910802
M: 656.859375

RS: 2394
T: 135.0195642351173
M: 653.01953125

RS: 2510
T: 142.362670956878
M: 653.828125

RS: 2218
T: 125.19042646000162
M: 654.90625

RS: 5714
T: 324.3659869648982
M: 653.3515625

RS: 1954
T: 110.3549271740485
M: 648.3984375

RS: 1172
T: 66.63021035096608
M: 650.65234375

RS: 3385
T: 190.83269523084164
M: 653.65234375

RS: 2062
T: 118.34532052092254
M: 653.90234375

RS: 1859
T: 105.56587443803437
M: 654.0078125

RS: 4042
T: 229.7560034210328
M: 654.02734375

RS: 1591
T: 90.36900737183169
M: 654.3671875

RS: 3330
T: 188.77381742186844
M: 654.43359375

RS: 2451
T: 140.02522566798143
M: 655.1640625

RS: 3233
T: 184.8174056969583
M: 656.40234375

RS: 1986
T: 112.43634384009056
M: 657.08203125

RS: 1920
T: 108.76867727306671
M: 656.83203125

RS: 4522
T: 255.7904890521895
M: 656.8359375

RS: 2359
T: 133.83313154103234
