2024-04-25 04:05:45.557743
dataset='chess'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=7115, E=55779
Subgraphing: lcc
Graph read time:
0.24219172005541623

Current memory usage:
M: 196.390625
Run times:
RS: 1994
T: 5.851495346985757
M: 6151.97265625

RS: 2613
T: 8.125574707984924
M: 6377.61328125

RS: 2166
T: 6.586297830101103
M: 6521.99609375

RS: 2601
T: 7.536464302800596
M: 6552.91015625

RS: 2784
T: 8.48923947615549
M: 6551.078125

RS: 2928
T: 8.759016558062285
M: 6583.64453125

RS: 4168
T: 12.095677732024342
M: 6587.8046875

RS: 4942
T: 14.611251381924376
M: 6587.546875

RS: 3546
T: 10.407168564852327
M: 6643.140625

RS: 3411
T: 9.952674513217062
M: 6644.71875

RS: 1921
T: 6.091531540965661
M: 6644.28515625

RS: 4051
T: 11.651834940072149
M: 6646.16015625

RS: 2143
T: 6.569716790923849
M: 6645.05859375

RS: 2050
T: 6.248155657202005
M: 6637.25390625

RS: 2253
T: 6.7219624069985
M: 6648.0234375

RS: 2324
T: 7.278087243903428
M: 6648.546875

RS: 2181
T: 6.592275908915326
M: 6647.70703125

RS: 1739
T: 5.149208813905716
M: 6649.09375

RS: 3791
T: 11.64828085899353
M: 6648.640625

RS: 2209
T: 6.773709214059636
M: 6658.33203125

RS: 2335
T: 6.990336633985862
M: 6659.60546875

RS: 5428
T: 16.470809401012957
M: 6657.3828125

RS: 3846
T: 11.249010808998719
M: 6661.6796875

RS: 4287
T: 13.02848232910037
M: 6662.4296875

RS: 4165
T: 12.524071682943031
M: 6661.67578125

RS: 2394
T: 7.117412424180657
M: 6662.3828125

RS: 2510
T: 7.720630001975223
M: 6661.62109375

RS: 2218
T: 6.511991437990218
M: 6661.0390625

RS: 5714
T: 16.87335982406512
M: 6667.23828125

RS: 1954
T: 6.0286770411767066
M: 6653.12109375

RS: 1172
T: 3.5325107239186764
M: 6662.55078125

RS: 3385
T: 10.217230783076957
M: 6685.42578125

RS: 2062
T: 6.3010541019029915
M: 6663.171875

RS: 1859
T: 5.441958308918402
M: 6665.40234375

RS: 4042
T: 12.151254601078108
M: 6685.78515625

RS: 1591
T: 4.868751454167068
M: 6665.03515625

RS: 3330
T: 10.046202244004235
M: 6668.578125

RS: 2451
T: 7.755431174999103
M: 6686.22265625

RS: 3233
T: 9.318232373101637
M: 6668.7734375

RS: 1986
T: 6.1315845609642565
M: 6667.23046875

RS: 1920
T: 5.9875240318942815
M: 6660.03125

RS: 4522
T: 13.24780974490568
M: 6672.65625

RS: 2359
T: 7.392908286070451
M: 6685.41796875

RS: 1863
T: 5.671090035000816
M: 6666.62109375

RS: 2300
T: 6.9750577309168875
M: 6669.20703125

RS: 2995
T: 9.376742176013067
M: 6710.02734375

RS: 3574
T: 10.425443802960217
M: 6670.3203125

RS: 2785
T: 8.449544086121023
M: 6686.03125

