2024-04-25 02:37:08.770525
dataset='elec'
prog='LeeBCC'
max_runs=1000
max_secs=40000

graph size: N=7066, E=100721
Subgraphing: lcc
Graph read time:
0.45031533390283585

Current memory usage:
M: 196.41015625
Run times:
RS: 4786
T: 294.45369163597934
M: 597.8671875

RS: 4786
T: 276.2391839940101
M: 665.12890625

RS: 4786
T: 289.3442432358861
M: 694.5234375

RS: 4786
T: 289.2526352989953
M: 710.51171875

RS: 4786
T: 288.4396715250332
M: 700.02734375

RS: 4786
T: 296.94366008695215
M: 702.59375

RS: 4786
T: 297.57010883581825
M: 718.546875

RS: 4786
T: 304.3795818788931
M: 690.51171875

RS: 4786
T: 303.72317954082973
M: 694.55859375

RS: 4786
T: 287.3889648548793
M: 697.21875

RS: 4786
T: 275.00399219081737
M: 698.80859375

RS: 4786
T: 285.5078507300932
M: 703.72265625

RS: 4786
T: 277.06478126882575
M: 695.71484375

RS: 4786
T: 272.57737666903995
M: 696.9453125

RS: 4786
T: 273.29321410506964
M: 707.1875

RS: 4786
T: 275.51597108412534
M: 717.2890625

RS: 4786
T: 293.7046863150317
M: 708.78125

RS: 4786
T: 291.5530419310089
M: 699.2890625

RS: 4786
T: 276.4929008530453
M: 713.4296875

RS: 4786
T: 273.05849902099
M: 703.9765625

RS: 4786
T: 273.7705836580135
M: 690.55859375

RS: 4786
T: 280.146600471111
M: 702.60546875

RS: 4786
T: 286.688185418956
M: 714.203125

RS: 4786
T: 285.4327109151054
M: 709.28125

RS: 4786
T: 287.21164071792737
M: 694.82421875

RS: 4786
T: 285.2811601120047
M: 699.40625

RS: 4786
T: 287.6654733440373
M: 705.5625

RS: 4786
T: 287.49440477299504
M: 719.4375

RS: 4786
T: 284.9040612389799
M: 711.1015625

RS: 4786
T: 286.944016227033
M: 715.234375

RS: 4786
T: 286.7414679208305
M: 711.765625

RS: 4786
T: 287.577642833814
M: 698.265625

RS: 4786
T: 285.7552998738829
M: 698.265625

RS: 4786
T: 285.5886839989107
M: 697.953125

RS: 4786
T: 286.32883522100747
M: 701.07421875

RS: 4786
T: 285.1325547939632
M: 704.41015625

RS: 4786
T: 287.21868849080056
M: 691.43359375

RS: 4786
T: 285.5512333482038
M: 704.29296875

RS: 4786
T: 286.69018286303617
M: 701.953125

RS: 4786
T: 286.7215622460935
M: 698.36328125

RS: 4786
T: 285.3059595208615
M: 704.6171875

RS: 4786
T: 287.2889238661155
M: 694.99609375

RS: 4786
T: 285.08000561594963
M: 707.18359375

RS: 4786
T: 286.2477696049027
M: 713.30859375

RS: 4786
T: 287.9910149089992
M: 694.9609375

RS: 4786
T: 284.8679296269547
M: 694.9609375

RS: 4786
T: 286.53417767304927
M: 701.171875

RS: 4786
T: 285.4535863029305
M: 708.890625

RS: 4786
T: 287.5954049760476
M: 710.078125

RS: 4786
T: 284.85813637496904
M: 710.390625

RS: 4786
T: 287.2887745189946
M: 710.08203125

RS: 4786
T: 284.934157388052
M: 710.390625

RS: 4786
T: 287.27384945889935
M: 710.0859375

RS: 4786
T: 286.77802912308834
M: 710.078125

RS: 4786
T: 286.4548998370301
M: 710.84765625

RS: 4786
T: 288.05765121313743
M: 697.65625

RS: 4786
T: 285.3695978708565
M: 701.9765625

RS: 4786
T: 287.30444643693045
M: 711.015625

RS: 4786
T: 286.45297067495994
M: 696.6953125

RS: 4786
T: 286.5427098800428
M: 698.4296875

RS: 4786
T: 287.1642675008625
M: 704.83203125

RS: 4786
T: 285.3583654270042
M: 698.87109375

RS: 4786
T: 287.00336788687855
M: 705.52734375

RS: 4786
T: 281.31634097592905
M: 707.96484375

RS: 4786
T: 279.5378607090097
M: 713.703125

RS: 4786
T: 286.42250403994694
M: 702.09375

RS: 4786
T: 284.77367010200396
M: 701.78125

