2024-04-25 02:37:08.770611
dataset='elec'
prog='iCentral'
max_runs=1000
max_secs=40000

graph size: N=7066, E=100721
Subgraphing: lcc
Graph read time:
0.4549456730019301

Current memory usage:
M: 195.91015625
Run times:
RS: 887
T: 62.323598770890385
M: 549.1328125

RS: 1579
T: 115.76602694392204
M: 671.31640625

RS: 1322
T: 97.62899169116281
M: 671.62109375

RS: 1374
T: 94.31306327902712
M: 679.87109375

RS: 1311
T: 87.45156074198894
M: 688.3125

RS: 1376
T: 92.09337545721792
M: 688.0

RS: 1586
T: 110.04831358511001
M: 685.234375

RS: 1489
T: 106.52163761900738
M: 672.08984375

RS: 1479
T: 105.4716487841215
M: 671.8984375

RS: 3372
T: 235.0475180200301
M: 672.94921875

RS: 1338
T: 93.91895187785849
M: 673.83984375

RS: 1027
T: 71.71373931015842
M: 675.64453125

RS: 4068
T: 282.65225050295703
M: 679.83203125

RS: 1289
T: 95.14638112997636
M: 672.7421875

RS: 1418
T: 103.79706196696497
M: 679.140625

RS: 3183
T: 231.32802246091887
M: 677.48046875

RS: 1121
T: 83.32084104698151
M: 683.3125

RS: 2221
T: 162.06508194305934
M: 671.640625

RS: 2579
T: 189.23161540203728
M: 674.7109375

RS: 1482
T: 108.5409333629068
M: 674.59765625

RS: 1447
T: 105.71024577296339
M: 679.265625

RS: 1223
T: 89.35141303995624
M: 682.65625

RS: 1586
T: 110.65397495985962
M: 683.4375

RS: 2791
T: 186.37157375807874
M: 674.56640625

RS: 1748
T: 117.18712594592944
M: 675.38671875

RS: 1140
T: 77.49813811201602
M: 673.0703125

RS: 2739
T: 188.73949105595239
M: 676.09765625

RS: 2739
T: 190.04328119382262
M: 678.390625

RS: 1749
T: 115.7196413280908
M: 678.390625

RS: 2749
T: 183.28755721496418
M: 678.453125

RS: 2377
T: 157.21970017114654
M: 680.890625

RS: 1562
T: 103.92539895512164
M: 680.890625

RS: 902
T: 60.04823148390278
M: 680.890625

RS: 1501
T: 101.43146814103238
M: 681.625

RS: 2576
T: 170.30800645588897
M: 682.546875

RS: 1248
T: 85.0943244099617
M: 682.484375

RS: 1244
T: 87.88412218284793
M: 679.52734375

RS: 2456
T: 178.60028105298989
M: 674.65234375

RS: 847
T: 62.75486801704392
M: 678.7890625

RS: 2299
T: 166.0333919490222
M: 678.5390625

RS: 1124
T: 75.20920396386646
M: 678.5390625

RS: 3097
T: 210.01624244684353
M: 678.5390625

RS: 1911
T: 127.02623769408092
M: 678.6015625

RS: 1445
T: 96.18378327414393
M: 678.6015625

RS: 1533
T: 101.75108429300599
M: 678.5390625

RS: 1967
T: 130.98301325901411
M: 678.6015625

RS: 1433
T: 97.00138963502832
M: 678.5390625

RS: 1816
T: 121.43426571087912
M: 679.59375

RS: 1747
T: 117.75394126609899
M: 680.765625

RS: 1317
T: 93.68141476204619
M: 680.515625

RS: 2159
T: 151.95477356482297
M: 680.578125

RS: 1637
T: 114.55437881103717
M: 680.515625

RS: 1080
T: 76.59538108995184
M: 681.6796875

RS: 2070
T: 142.56580989505164
M: 680.078125

RS: 1828
T: 129.0598997520283
M: 673.9375

RS: 569
T: 40.12169858207926
M: 675.703125

RS: 1255
T: 87.54523186595179
M: 679.9609375

RS: 2342
T: 163.05978869087994
M: 672.33203125

RS: 1554
T: 110.305454432033
M: 680.46484375

RS: 1984
T: 137.1746014629025
M: 677.953125

RS: 1483
T: 103.71195020386949
M: 673.9609375

RS: 1570
T: 110.47761311405338
M: 676.84765625

RS: 2361
T: 164.6038256061729
M: 679.734375

RS: 1146
T: 81.77022879105061
M: 681.7265625

RS: 1598
T: 113.48267984902486
M: 683.71875

RS: 1259
T: 87.04744353494607
M: 683.78125

RS: 2487
T: 171.89174318895675
M: 686.33984375

RS: 1730
T: 120.75055386987515
M: 688.4609375

RS: 3328
T: 230.33271622494794
M: 688.7109375

RS: 1257
T: 88.4190522399731
M: 688.7109375

RS: 1133
T: 79.23545733094215
M: 688.4609375

RS: 1462
T: 102.5093735049013
M: 688.3359375

RS: 2225
T: 154.5750324151013
M: 672.71875

RS: 1337
T: 93.90851426287554
M: 672.78125

RS: 3136
T: 219.95884592900984
M: 673.03125

RS: 1426
T: 99.56170390197076
M: 673.76953125

RS: 1601
T: 112.08222107589245
M: 674.8203125

RS: 3040
T: 210.9896863619797
M: 681.74609375

RS: 1293
T: 90.65460690204054
M: 672.18359375

RS: 3690
T: 255.50761371385306
M: 672.9921875

RS: 1159
T: 78.81523403711617
M: 672.9921875

RS: 1572
T: 111.43160497792996
M: 680.5234375

RS: 1378
T: 96.82991052395664
M: 672.828125

RS: 1307
T: 92.28823250089772
M: 680.66015625

RS: 1350
T: 94.3788891339209
M: 677.2265625

RS: 1549
T: 108.94229587703012
M: 683.890625

RS: 2462
T: 169.5351414589677
M: 687.66015625

RS: 1586
T: 111.43759860494174
M: 695.33203125

RS: 4572
T: 317.7071031869855
M: 700.69140625

RS: 2647
T: 184.86953382915817
M: 680.69140625

RS: 1413
T: 96.21923044114374
M: 679.78125

RS: 1678
T: 118.51807355484925
M: 679.84375

RS: 3113
T: 217.0375851339195
M: 679.84375

RS: 1252
T: 88.5018352761399
M: 679.78125

RS: 1860
T: 129.53444037679583
M: 680.03125

RS: 4125
T: 283.7714068738278
M: 679.78125

RS: 3085
T: 216.02502018306404
M: 679.78125

RS: 3048
T: 212.6005090358667
M: 680.09375

RS: 1612
T: 111.37624771520495
M: 680.03125

RS: 1838
T: 129.1323706151452
