2024-04-25 04:12:42.624632
dataset='elec'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=7066, E=100721
Subgraphing: lcc
Graph read time:
0.32780891796573997

Current memory usage:
M: 196.79296875
Run times:
RS: 887
T: 3.8358599389903247
M: 6297.39453125

RS: 1579
T: 6.235062825959176
M: 6663.71875

RS: 1322
T: 5.451880873879418
M: 6704.9609375

RS: 1374
T: 5.349104674998671
M: 6699.96484375

RS: 1311
T: 5.0154118470381945
M: 6699.28125

RS: 1376
T: 5.375978361116722
M: 6706.16015625

RS: 1586
T: 6.032014708966017
M: 6703.015625

RS: 1489
T: 6.077568353852257
M: 6707.484375

RS: 1479
T: 5.647715158062056
M: 6704.41796875

RS: 3372
T: 12.36398949706927
M: 6704.47265625

RS: 1338
T: 5.378347889985889
M: 6711.27734375

RS: 1027
T: 4.073015965055674
M: 6699.6328125

RS: 4068
T: 14.830405318876728
M: 6713.7265625

RS: 1289
T: 5.098210772033781
M: 6706.9375

RS: 1418
T: 5.458303491119295
M: 6754.0546875

RS: 3183
T: 11.761348567903042
M: 6763.0546875

RS: 1121
T: 4.409808838041499
M: 6749.56640625

RS: 2221
T: 8.515964104095474
M: 6762.19921875

RS: 2579
T: 9.558311008149758
M: 6823.44140625

RS: 1482
T: 5.655496190069243
M: 6822.5234375

RS: 1447
T: 5.5632575480267406
M: 6828.328125

RS: 1223
T: 4.780096041969955
M: 6817.41015625

RS: 1586
T: 6.273371864110231
M: 6828.9765625

RS: 2791
T: 10.33938305801712
M: 6826.98046875

RS: 1748
T: 7.123283257940784
M: 6823.390625

RS: 1140
T: 4.715099151013419
M: 6830.171875

RS: 2739
T: 10.082079221028835
M: 6829.5

RS: 2739
T: 10.293713463936001
M: 6833.703125

RS: 1749
T: 6.511164837051183
M: 6826.60546875

RS: 2749
T: 10.128767438000068
M: 6721.15234375

RS: 2377
T: 8.86102988710627
M: 6719.42578125

RS: 1562
T: 5.946140290005133
