2024-04-25 07:08:19.229606
dataset='epinions'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=119130, E=704572
Subgraphing: lcc
Graph read time:
3.818255193065852

Current memory usage:
M: 457.45703125
Run times:
RS: 18613
T: 1289.7947996130679
M: 27337.41015625

RS: 33703
T: 2320.049303644104
M: 28679.07421875

RS: 21620
T: 1459.0304124827962
M: 29777.62109375

RS: 17163
T: 1180.037415105151
M: 29819.25390625

RS: 34541
T: 2367.9009358631447
M: 29971.4296875

RS: 36155
T: 2464.4299424060155
M: 29974.2734375

RS: 20779
T: 1448.4393466380425
M: 29701.67578125

RS: 24491
T: 1681.0109234680422
M: 29785.8671875

RS: 36180
T: 2517.7495562301483
M: 29857.64453125

RS: 20612
T: 1406.2089107399806
M: 29694.5625

RS: 15205
T: 1031.8963217751589
M: 29613.74609375

RS: 11175
T: 748.6743079042062
M: 29876.3046875

RS: 38509
T: 2568.175600650953
M: 29832.5703125

RS: 20027
T: 1331.9810223509558
M: 29755.6796875

RS: 27074
T: 1774.0573860288132
M: 29742.2109375

RS: 57423
T: 3850.043539662147
M: 29877.421875

RS: 14409
T: 990.791653847089
M: 29590.67578125

RS: 15083
T: 1046.2876076130196
M: 29642.52734375

RS: 9968
T: 678.0251767211594
M: 29947.8046875

RS: 22165
T: 1532.180043127155
M: 29869.8828125

RS: 11996
T: 831.0835147819016
M: 29757.53125

RS: 28197
T: 1939.251571906032
M: 29968.609375

RS: 16460
T: 1127.876605231082
M: 29839.7734375

RS: 37078
T: 2438.9207259379327
M: 29960.2734375

