2024-04-25 08:29:54.805837
dataset='linux'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=30817, E=213735
Subgraphing: lcc
Graph read time:
0.4976379161234945

Current memory usage:
M: 222.59765625
Run times:
RS: 23696
T: 321.9045037268661
M: 10561.76171875

RS: 22626
T: 312.66873474093154
M: 10950.1171875

RS: 10255
T: 140.72226810315624
M: 11128.41015625

RS: 5575
T: 77.4781972959172
M: 11176.890625

RS: 14987
T: 250.6633757369127
M: 11202.23046875

RS: 9286
T: 128.69756164588034
M: 11323.8671875

RS: 8629
T: 123.79343093419448
M: 11235.73046875

RS: 27727
T: 379.943869241979
M: 11229.46875

RS: 22923
T: 316.334387143841
M: 11276.859375

RS: 16651
T: 227.15855264710262
M: 11174.0546875

RS: 82
T: 2.7794916050042957
M: 9077.47265625

RS: 15657
T: 235.48434903495945
M: 11153.19140625

RS: 9274
T: 137.81174521706998
M: 11232.27734375

RS: 7189
T: 106.1230838210322
M: 11173.20703125

RS: 17681
T: 246.37061842298135
M: 11180.75390625

RS: 14293
T: 232.67718899599276
M: 11167.77734375

RS: 16550
T: 231.3558712399099
M: 11236.53515625

RS: 12411
T: 169.6113209030591
M: 11319.52734375

RS: 16815
T: 232.21869781799614
M: 11194.18359375

RS: 15370
T: 214.0015388240572
M: 11265.73828125

RS: 15010
T: 218.563912501093
M: 11223.91015625

RS: 15175
T: 211.63464729790576
M: 11280.12890625

RS: 11966
T: 165.69337802613154
M: 11210.03515625

RS: 11995
T: 169.65802341001108
M: 11252.1640625

RS: 19080
T: 268.6416290961206
M: 11288.046875

RS: 1663
T: 25.16122505487874
M: 11206.640625

RS: 26665
T: 368.9132421449758
M: 11329.44921875

RS: 11793
T: 165.65625811298378
M: 11261.6484375

RS: 8700
T: 142.23952788393945
M: 11255.80078125

RS: 11301
T: 156.1154138748534
M: 11349.296875

RS: 7713
T: 110.43203518493101
M: 11297.8515625

RS: 16625
T: 247.12986902799457
M: 11331.3125

RS: 17670
T: 253.03696463583037
M: 11270.18359375
