2024-04-25 08:54:55.219851
dataset='slashdot-threads'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=51083, E=117378
Subgraphing: lcc
Graph read time:
0.6589150920044631

Current memory usage:
M: 220.6484375
Run times:
RS: 10213
T: 114.10136694600806
M: 9744.140625

RS: 10812
T: 121.04350646212697
M: 10050.078125

RS: 6596
T: 74.28006343310699
M: 10085.05859375

RS: 9081
T: 102.37419277103618
M: 10113.31640625

RS: 13044
T: 145.4287488691043
M: 10184.55859375

RS: 8455
T: 95.48960211500525
M: 10248.4140625

RS: 10523
T: 118.39121046708897
M: 10295.046875

RS: 14182
T: 158.57284511905164
M: 10319.8515625

RS: 5974
T: 68.15589249902405
M: 10264.453125

RS: 17018
T: 189.9592233200092
M: 10345.6484375

RS: 8240
T: 92.64176564686932
M: 10328.12109375

RS: 14582
T: 163.1599964920897
M: 10330.65625

RS: 15140
T: 169.06443722406402
M: 10436.37109375

RS: 1789
T: 21.490388912847266
M: 10322.65234375

RS: 7333
T: 82.56007024995051
M: 10339.25

RS: 19412
T: 215.2903677090071
M: 10431.53125

RS: 10731
T: 119.99032442597672
M: 10484.2890625

RS: 12460
T: 139.26038134889677
M: 10427.9765625

RS: 16599
T: 184.27830801112577
M: 10493.85546875

RS: 15611
T: 176.43909431388602
M: 10527.69140625

RS: 4
T: 0.7911067709792405
M: 876.3984375

RS: 10663
T: 120.61282679322176
M: 10447.52734375

RS: 7500
T: 85.05762578593567
M: 10439.92578125

RS: 9231
T: 105.29366459604353
M: 10540.3359375

RS: 13807
T: 157.11181310215034
M: 10481.8984375

RS: 11771
T: 134.66829169983976
M: 10482.9375

RS: 6033
T: 68.7870995439589
M: 10506.0546875

RS: 7211
T: 81.90491950791329
M: 10542.53125

RS: 9587
T: 107.88538194191642
M: 10364.5078125

RS: 10982
T: 123.03164866613224
M: 10414.71875

RS: 11927
T: 133.339337188052
M: 10387.16796875

RS: 11638
T: 129.07499692309648
M: 10385.3828125

RS: 10643
T: 119.76382199279033
M: 10423.85546875

RS: 11013
T: 123.14522517402656
M: 10460.6640625

RS: 17646
T: 199.84134277701378
M: 10397.359375

RS: 16004
