2024-04-25 08:54:55.219829
dataset='slashdot-zoo'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=79116, E=467731
Subgraphing: lcc
Graph read time:
2.2707035921048373

Current memory usage:
M: 343.58984375
Run times:
RS: 26737
T: 1548.6357584330253
M: 20339.375

RS: 13792
T: 800.2442794521339
M: 21179.08203125

RS: 14536
T: 832.3818081580102
M: 21269.13671875

RS: 15777
T: 921.0060830838047
M: 21342.46875

RS: 18674
T: 1264.3602580649313
M: 21407.16796875

RS: 26252
T: 1641.457828769926
M: 21478.90625

RS: 11006
T: 759.188928005984
M: 21487.09375

RS: 15184
T: 988.9111229809932
M: 21360.33203125

RS: 18317
T: 1050.7388705990743
M: 21733.15625

RS: 13661
T: 820.5309007118922
M: 21958.03515625

RS: 17857
T: 1192.2211880788673
M: 21492.63671875

RS: 32125
T: 2188.8271081279963
M: 21826.77734375

RS: 24570
T: 1727.3037613090128
M: 21793.00390625

RS: 26480
T: 1793.212163124932
M: 21711.32421875

RS: 16270
T: 924.9191422979347
M: 21818.109375

RS: 15448
T: 1069.233650397975
M: 21696.8125

RS: 22094
T: 1267.239786598133
M: 21982.65234375

RS: 38980
T: 2241.01119057904
M: 21931.296875

RS: 25901
T: 1480.1182335079648
M: 21721.296875

RS: 22782
T: 1306.113610861823
M: 21894.05078125

RS: 13088
T: 748.7315562728327
M: 21929.453125

RS: 33631
T: 2028.2830546009354
M: 22080.23046875

RS: 16677
T: 960.6361717900727
M: 21969.1875

RS: 15661
T: 959.1915427881759
M: 22004.26953125

RS: 23231
T: 1495.9550581208896
M: 21854.92578125

RS: 19933
T: 1444.2102250708267
M: 21882.19921875

RS: 33666
T: 1947.6342817861587
M: 21929.02734375

RS: 44792
T: 2562.519192886073
M: 22061.7265625

RS: 39099
T: 2495.980817760108
M: 22169.98828125

