2024-04-25 09:01:13.374974
dataset='sx-mathoverflow'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=24668, E=199851
Subgraphing: lcc
Graph read time:
0.8529141389299184

Current memory usage:
M: 229.875
Run times:
RS: 8863
T: 113.55692973104306
M: 9449.66796875

RS: 13076
T: 160.89655407494865
M: 9837.05078125

RS: 10204
T: 145.6642021969892
M: 9902.359375

RS: 0
T: 0.8265870860777795
M: 846.18359375

RS: 5514
T: 71.58668347494677
M: 9970.23046875

RS: 9910
T: 131.52762734307908
M: 9780.40625

RS: 12180
T: 151.28619286697358
M: 9818.5234375

RS: 6475
T: 91.15857049496844
M: 9717.6484375

RS: 15702
T: 224.60390016902238
M: 9871.3984375

RS: 16918
T: 249.3078040201217
M: 9947.609375

RS: 0
T: 1.537026738980785
M: 850.421875

RS: 6457
T: 79.3343549259007
M: 10395.09375

RS: 0
T: 1.4097747460473329
M: 850.09765625

RS: 9460
T: 135.60897561884485
M: 9735.671875

RS: 8366
T: 122.01557154208422
M: 9701.99609375

RS: 7542
T: 100.1509769060649
M: 9743.80078125

RS: 5836
T: 72.82934604492038
M: 9692.06640625

RS: 9653
T: 139.1464318051003
M: 9729.94921875

RS: 6865
T: 85.48475042497739
M: 9698.03515625

RS: 9793
T: 121.10323325707577
M: 9720.140625

RS: 18163
T: 224.1250037360005
M: 9807.1171875

RS: 10816
T: 132.80387517088093
M: 9719.41796875

RS: 16678
T: 203.63349428703077
M: 9808.51953125

RS: 16232
T: 197.87281406205148
M: 9785.37890625

RS: 15079
T: 190.23975555109791
M: 9832.28515625

RS: 14774
T: 185.78216169704683
M: 9840.5234375

RS: 5277
T: 69.82838972099125
M: 9804.52734375

RS: 10380
T: 126.33113097888418
M: 9782.05859375

RS: 12274
T: 177.699849601835
M: 9865.34375

RS: 12530
T: 175.89278205414303
M: 9873.70703125

RS: 11554
T: 143.27103745401837
M: 9825.71484375

RS: 4850
T: 61.417092046001926
M: 9751.45703125

RS: 3233
T: 41.34587110998109
M: 9837.7734375

RS: 5887
T: 84.20674703200348
M: 9833.62890625

RS: 16539
T: 202.2064909900073
M: 9876.25390625

RS: 5967
T: 74.54491443908773
M: 9811.81640625

RS: 0
T: 1.4194039469584823
M: 869.765625

RS: 5014
T: 73.38269405788742
M: 9906.109375

RS: 6578
T: 80.02723722183146
M: 10008.71875

RS: 11738
T: 144.6515705108177
M: 10107.8828125

RS: 8677
T: 107.24377416982315
M: 9990.49609375

RS: 5339
T: 76.8658913159743
M: 10030.0390625

RS: 7225
T: 91.70349809201434
M: 10007.75390625

RS: 10350
T: 127.52499501407146
M: 10109.36328125

RS: 5107
T: 64.24751214100979
M: 10035.1796875

RS: 15659
T: 194.07446845108643
M: 10126.87890625

RS: 5921
T: 73.87481370102614
M: 10028.62890625

RS: 18156
T: 218.7088401420042
M: 10118.5078125

RS: 9074
T: 111.21380414091982
M: 10065.4921875

RS: 18409
T: 267.62687521707267
M: 10121.63671875

RS: 7815
T: 110.22164111002348
M: 10084.453125

RS: 3948
T: 49.9298944149632
M: 9991.18359375

RS: 4404
T: 56.06001287186518
M: 10006.2109375

RS: 11543
T: 144.30967659479938
M: 10094.22265625

RS: 18162
T: 221.641416633036
M: 10148.84375

RS: 16684
T: 204.48592516384088
M: 10133.8671875

RS: 5985
T: 75.37819976289757
M: 10035.640625

RS: 8960
T: 130.5980997418519
M: 10026.7890625

RS: 6528
T: 85.9154567909427
M: 10047.28515625

RS: 4474
T: 55.93278570193797
M: 10035.13671875

RS: 5674
T: 72.10822284501046
M: 10093.69921875

RS: 4923
T: 63.77898651501164
M: 10106.69921875

RS: 10415
T: 133.19960713898763
M: 10108.0625

RS: 12425
T: 183.29375403700396
M: 10100.421875

RS: 15305
T: 194.58787883701734
M: 10112.3125

RS: 18593
T: 235.4912250400521
M: 10125.56640625

RS: 4144
T: 60.7817623980809
M: 10097.65234375

RS: 14548
