2024-04-26 15:51:35.158944
dataset='linux'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=27876, E=210713
Subgraphing: bcc
Graph read time:
0.7831331260968

Current memory usage:
M: 256.09765625
Run times:
RS: 7985
T: 116.2327759009786
M: 10148.328125

RS: 20881
T: 303.22393369302154
M: 10748.90625

RS: 11574
T: 168.87512780702673
M: 10858.7265625

RS: 17055
T: 250.0394307950046
M: 10868.36328125

RS: 7457
T: 110.86416630004533
M: 10897.9375

RS: 12600
T: 183.01412952691317
M: 10929.47265625

RS: 23034
T: 333.80762297892943
M: 10912.2421875

RS: 11510
T: 170.74928783392534
M: 10914.3984375

RS: 16181
T: 234.00941809406504
M: 10842.37109375

RS: 27642
T: 399.98130944999866
M: 10907.61328125

RS: 7465
T: 109.42892872798257
M: 10730.078125

RS: 7396
T: 107.66136313113384
M: 10935.05078125

RS: 19155
T: 278.24003671715036
M: 10837.50390625

RS: 11448
T: 168.35910248104483
M: 10920.53515625

RS: 13775
T: 199.5580015028827
M: 10818.328125

RS: 17516
T: 256.42326497798786
M: 10857.734375

RS: 11451
T: 168.64714723499492
M: 10872.84375

RS: 13458
T: 195.9185384628363
M: 10860.42578125

RS: 10906
T: 159.93750783079304
M: 10958.578125

RS: 11384
T: 165.37424108805135
M: 10933.96484375

RS: 15884
T: 232.73140667402185
M: 10912.39453125

RS: 7487
T: 111.23596752784215
M: 10954.84765625

RS: 17853
T: 262.732516056858
M: 10922.3125

RS: 14451
T: 213.7443479290232
M: 10865.9453125

RS: 16619
T: 244.2309814170003
M: 10839.92578125

RS: 18265
T: 267.1178099899553
M: 10915.52734375

RS: 21773
T: 318.08854314591736
M: 10907.02734375

RS: 21011
T: 309.30542397196405
M: 10872.95703125

RS: 11019
T: 165.21257615904324
M: 10845.62890625

RS: 19463
T: 288.15502982004546
M: 10895.80078125

RS: 10285
T: 153.4763039490208
M: 10944.73828125

RS: 9485
T: 139.34620053390972
M: 11010.2265625

RS: 14857
T: 218.37477392400615
M: 10788.8046875

