2024-04-26 15:25:30.227018
dataset='email-EuAll'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=36106, E=152015
Subgraphing: bcc
Graph read time:
1.8448913551401347

Current memory usage:
M: 522.06640625
Run times:
RS: 21506
T: 383.97449923609383
M: 11667.30859375

RS: 34196
T: 573.7267367450986
M: 11728.1796875

RS: 33892
T: 663.4199579050764
M: 11691.6328125

RS: 25379
T: 507.5589951730799
M: 11795.60546875

RS: 21279
T: 374.12092822999693
M: 11807.6015625

RS: 11521
T: 200.27928014704958
M: 11886.59375

RS: 19983
T: 341.45122402510606
M: 11926.79296875

RS: 34380
T: 651.1399395421613
M: 11687.65625

RS: 34152
T: 710.733444544021
M: 11644.53125

RS: 17343
T: 360.19630743097514
M: 11772.1875

RS: 23443
T: 390.5743718810845
M: 11802.46875

RS: 10712
T: 219.4033002918586
M: 11958.0625

RS: 18156
T: 340.1345531218685
M: 11835.390625

RS: 14106
T: 238.84225257090293
M: 11683.0625

RS: 9803
T: 203.8391786760185
M: 11856.0546875

RS: 32107
T: 636.6363677741028
M: 11892.58984375

RS: 8793
T: 142.13303917692974
M: 11787.52734375

RS: 8426
T: 152.45945651084185
M: 11632.32421875

RS: 21290
T: 337.632059935946
M: 11633.546875

RS: 34380
T: 574.4102162711788
M: 11720.57421875

RS: 20197
T: 337.09045186499134
M: 11754.1328125

RS: 33114
T: 675.8197444111574
M: 11775.49609375

RS: 18927
T: 381.0180468109902
M: 11830.6328125

RS: 13565
T: 253.881868874887
M: 11624.06640625

RS: 36106
T: 748.7909784300718
M: 11650.5078125

RS: 23190
T: 401.1888355370611
M: 11804.62890625

RS: 35323
