2024-04-24 01:10:32.735766
dataset='epinions'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=119130, E=704572
Subgraphing: lcc
Graph read time:
4.162602916127071

Run times:
RS: 18613
T: 1362.3294613540638
M: 27302.69140625

RS: 33703
T: 2450.7005828160327
M: 28593.5703125

RS: 21620
T: 1491.9720889031887
M: 29592.21875

RS: 17163
T: 1203.6846878600772
M: 29676.76953125

RS: 34541
T: 2519.9709499350283
M: 29866.43359375

RS: 36155
T: 2645.6875498781446
M: 29726.3828125

RS: 20779
T: 1549.283049413003
M: 29569.18359375

RS: 24491
T: 1782.7748769300524
M: 29735.85546875

RS: 36180
T: 2663.7887000131886
M: 29846.80859375

RS: 20612
T: 1540.4688309868798
M: 29618.29296875

RS: 15205
T: 1141.123786838958
M: 29602.609375

RS: 11175
T: 835.4165547301527
M: 29776.61328125

RS: 38509
T: 2858.2222236518282
M: 29759.44140625

RS: 20027
T: 1502.36536831595
M: 29679.18359375

RS: 27074
T: 1980.9769926730078
M: 29672.984375

RS: 57423
T: 4130.56861568708
M: 29757.859375

RS: 14409
T: 931.4350994720589
M: 29452.015625

RS: 15083
T: 960.6991636459716
M: 29502.08203125

RS: 9968
T: 645.9982020589523
M: 29818.3515625

RS: 22165
T: 1546.8377762159798
M: 29744.265625

RS: 11996
T: 852.8510917897802
M: 29582.58984375

RS: 28197
T: 1973.0725180339068
M: 29862.6484375

RS: 16460
T: 1157.7517072269693
M: 29782.1875

RS: 37078
T: 2568.2759009269066
M: 29780.2421875

