2024-04-24 01:10:32.864543
dataset='linux'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=30817, E=213735
Subgraphing: lcc
Graph read time:
0.6211310289800167

Run times:
RS: 23696
T: 403.1194437427912
M: 10538.04296875

RS: 22626
T: 384.3613108370919
M: 10981.80078125

RS: 10255
T: 176.7885189098306
M: 11090.08984375

RS: 5575
T: 96.56522118393332
M: 11200.87890625

RS: 14987
T: 238.5859425610397
M: 11254.203125

RS: 9286
T: 146.60950841614977
M: 11287.85546875

RS: 8629
T: 150.63928159186617
M: 11187.13671875

RS: 27727
T: 518.5824354928918
M: 11215.23046875

RS: 22923
T: 426.83448968618177
M: 11252.875

RS: 16651
T: 318.254804427037
M: 11149.19140625

RS: 82
T: 3.3836564749944955
M: 9176.5625

RS: 15657
T: 298.4489542450756
M: 11140.77734375

RS: 9274
T: 176.18413662700914
M: 11270.53515625

RS: 7189
T: 139.61713370401412
M: 11193.0390625

RS: 17681
T: 338.51338078500703
M: 11216.3359375

RS: 14293
T: 274.34971252502874
M: 11218.14453125

RS: 16550
T: 309.66294759791344
M: 11282.94140625

RS: 12411
T: 231.8983061797917
M: 11388.75

RS: 16815
T: 315.11955921701156
M: 11247.91015625

RS: 15370
T: 287.0406557088718
M: 11256.42578125

RS: 15010
T: 286.8593249418773
M: 11248.6171875

RS: 15175
T: 290.1898264819756
M: 11287.5625

RS: 11966
T: 228.53081381809898
M: 11264.41015625

RS: 11995
T: 232.2927192170173
M: 11245.58203125

RS: 19080
T: 358.2851604388561
M: 11362.8203125

RS: 1663
T: 33.433534336974844
M: 11268.1796875

RS: 26665
T: 489.10382450697944
M: 11374.5859375

RS: 11793
T: 218.53023374499753
M: 11310.83203125

RS: 8700
T: 156.94190904893912
M: 11236.6484375

RS: 11301
T: 209.02928013098426
M: 11321.734375

RS: 7713
T: 140.39386525098234
M: 11278.484375

RS: 16625
T: 306.8978086630814
M: 11335.80078125

RS: 17670
T: 338.30176760815084
M: 11295.3828125

RS: 13857
