2024-04-26 13:23:28.091961
dataset='pajek-erdos'
prog='LeeBCC'
max_runs=1000
max_secs=40000

graph size: N=2145, E=7067
Subgraphing: bcc
Graph read time:
0.20188666903413832

Current memory usage:
M: 196.625
Run times:
RS: 2145
T: 7.661471120081842
M: 492.81640625

RS: 2145
T: 7.59689045092091
M: 621.58984375

RS: 2145
T: 7.551667009014636
M: 625.8359375

RS: 2145
T: 7.577429007971659
M: 625.94140625

RS: 2145
T: 7.5690541891381145
M: 625.98046875

RS: 2145
T: 7.563716949895024
M: 625.9921875

RS: 2145
T: 7.5534620569087565
M: 626.00390625

RS: 2145
T: 7.520747292088345
M: 626.0078125

RS: 2145
T: 7.520697052124888
M: 626.0234375

RS: 2145
T: 7.535613138927147
M: 626.03515625

RS: 2145
T: 7.531850701896474
M: 626.16796875

RS: 2145
T: 7.50554883107543
M: 626.16796875

RS: 2145
T: 7.5114329741336405
M: 626.16796875

RS: 2145
T: 7.503138646949083
M: 626.16796875

RS: 2145
T: 7.545614701928571
M: 626.16796875

RS: 2145
T: 7.494250630959868
M: 626.16796875

RS: 2145
T: 7.5109849609434605
M: 626.16796875

RS: 2145
T: 7.520816026022658
M: 626.16796875

RS: 2145
T: 7.53085737884976
M: 626.17578125

RS: 2145
T: 7.525906351860613
M: 626.17578125

RS: 2145
T: 7.508390914881602
M: 626.17578125

RS: 2145
T: 7.5178745340090245
M: 626.17578125

RS: 2145
T: 7.52975450316444
M: 626.17578125

RS: 2145
T: 7.516199804842472
M: 626.17578125

RS: 2145
T: 7.494288019137457
M: 626.17578125

RS: 2145
T: 7.5600499419961125
M: 626.23828125

RS: 2145
T: 7.522252444876358
M: 626.17578125

RS: 2145
T: 7.510651932097971
M: 626.17578125

RS: 2145
T: 7.5246262438595295
M: 626.17578125

RS: 2145
T: 7.50277726422064
M: 626.17578125

RS: 2145
T: 7.544989925110713
M: 626.17578125

RS: 2145
T: 7.513173399027437
M: 626.17578125

RS: 2145
T: 7.514238204108551
M: 626.42578125

RS: 2145
T: 7.4906987240538
M: 626.17578125

RS: 2145
T: 7.50609477609396
M: 626.17578125

RS: 2145
T: 7.533855719957501
M: 626.17578125

RS: 2145
T: 7.506922711851075
M: 626.17578125

RS: 2145
T: 7.514083649031818
M: 626.17578125

RS: 2145
T: 7.515607787063345
M: 626.17578125

RS: 2145
T: 7.511025301879272
M: 626.17578125

RS: 2145
T: 7.538911005016416
M: 626.17578125

RS: 2145
T: 7.527667421847582
M: 626.17578125

RS: 2145
T: 7.534100702032447
M: 626.17578125

RS: 2145
T: 7.510733488947153
M: 626.17578125

RS: 2145
T: 7.51109380600974
M: 626.17578125

RS: 2145
T: 7.580791276181117
M: 626.17578125

