2024-04-24 13:51:14.728258
dataset='pajek-erdos'
prog='iCentral'
max_runs=1000
max_secs=40000

graph size: N=6927, E=11850
Subgraphing: lcc
Graph read time:
0.10916678002104163

Run times:
RS: 1547
T: 8.985887920018286

RS: 1919
T: 10.436230463907123

RS: 1686
T: 9.629499222151935

RS: 2105
T: 11.296062052017078

RS: 410
T: 2.337325507076457

RS: 1466
T: 8.0529987111222

RS: 2005
T: 10.979413624154404

RS: 1977
T: 10.613596798153594

RS: 146
T: 1.0000750399194658

RS: 2119
T: 11.487546279793605

RS: 2106
T: 11.526190561009571

RS: 1999
T: 10.704341581091285

RS: 1843
T: 10.106786181917414

RS: 705
T: 3.5944880300667137

RS: 2090
T: 11.576220617163926

RS: 1896
T: 10.1684919889085

RS: 2122
T: 11.400363187072799

RS: 1872
T: 10.448574155103415

RS: 1648
T: 8.879077828023583

RS: 1718
T: 9.629993577953428

RS: 1418
T: 7.819328730925918

RS: 287
T: 1.6246656849980354

RS: 2020
T: 10.831290145171806

RS: 1082
T: 6.365307183004916

RS: 1281
T: 7.226187452906743

RS: 1764
T: 9.541858633980155

RS: 277
T: 1.5423083798959851

RS: 490
T: 2.6961475440766662

RS: 1501
T: 7.985442153876647

RS: 1927
T: 10.60836969781667

RS: 2140
T: 11.332728612003848

RS: 1500
T: 8.013030242873356

RS: 2080
T: 11.287006156053394

RS: 1719
T: 9.107973939971998

RS: 1523
T: 8.536502273986116

RS: 647
T: 3.1750274701043963

RS: 1433
T: 8.023218262009323

RS: 2000
T: 10.575599367031828

RS: 1278
T: 7.230594589142129

RS: 2095
T: 11.211292118066922

RS: 1485
T: 8.264234568923712

RS: 2100
T: 11.057041442021728

RS: 2078
T: 10.896976714022458

RS: 474
T: 2.595452068839222

RS: 1797
T: 9.720919287065044

RS: 657
T: 3.2309020101092756

RS: 444
T: 2.5034747780300677

RS: 2134
T: 11.432126582134515

RS: 1882
T: 10.321137049002573

RS: 1792
T: 9.488746572984383

RS: 1977
T: 10.831505818059668

RS: 1415
T: 7.5281395758502185

RS: 2141
T: 11.495175286894664

RS: 1522
T: 8.333912875968963

RS: 1452
T: 7.986269896151498

RS: 2101
T: 11.243265884928405

RS: 2136
T: 11.275568237062544

RS: 1291
T: 7.407773319166154

RS: 2123
T: 11.113171212142333

RS: 90
T: 0.6164655240718275

RS: 362
T: 2.083982490003109

RS: 1534
T: 8.14668541890569

RS: 1632
T: 9.087251903954893

RS: 2024
T: 10.60241628298536

RS: 2116
T: 11.370571694104001

RS: 1447
T: 7.884798961924389

RS: 2131
T: 11.186157048912719

RS: 1950
T: 10.693268415052444

RS: 1797
T: 9.513892546994612

RS: 522
T: 2.8547054501250386

RS: 1472
T: 8.064695379929617

RS: 2137
T: 11.497599460883066

RS: 2118
T: 11.162893553962931

RS: 2013
T: 10.729644496925175

RS: 1628
T: 8.859639456961304

RS: 1879
T: 9.894107586005703

RS: 1633
T: 9.153663153992966

RS: 2124
T: 11.161000670865178

RS: 47
T: 0.43654570914804935

RS: 1657
T: 9.161922344006598

RS: 1334
T: 7.210356056923047

RS: 2131
T: 11.304747322108597

RS: 1509
T: 8.39166058995761

RS: 1834
T: 9.698261703830212

RS: 1426
T: 8.065631218953058

RS: 1872
T: 9.856767429970205

RS: 2145
T: 11.647582093020901

RS: 405
T: 1.9904734680894762

RS: 1634
T: 8.990951695945114

RS: 74
T: 0.532451672013849

RS: 38
T: 0.3600014678668231

RS: 212
T: 1.3476364850066602

RS: 2109
T: 11.085824263980612

RS: 275
T: 1.6441667361650616

RS: 2131
T: 11.180864831898361

RS: 2087
T: 11.452256371965632

RS: 1341
T: 7.199785551987588

RS: 2046
T: 11.027849396923557

RS: 497
T: 2.44123149686493

RS: 1555
T: 8.764522404177114

RS: 1945
T: 10.215911029139534

RS: 4
T: 0.17610934004187584

RS: 1963
T: 10.722447243984789

RS: 2110
T: 11.068348853150383

RS: 512
T: 2.81028193118982

RS: 1696
T: 8.958412050968036

RS: 1842
T: 10.134811575058848

RS: 1426
T: 7.617153379134834

RS: 1779
T: 9.706649580039084

RS: 1569
T: 8.440519685158506

RS: 2123
T: 11.155785928014666

RS: 1836
T: 10.097712142160162

RS: 2112
T: 11.072204015916213

RS: 1809
T: 9.865359927993268

RS: 1627
T: 8.762050232850015

RS: 2097
T: 10.983000193955377

RS: 361
T: 1.9834223231300712

RS: 141
T: 0.972580841043964

RS: 2011
T: 10.734489683061838

RS: 1207
T: 6.643033617874607

RS: 1989
T: 10.682049502851442

RS: 1770
T: 9.589090975932777

RS: 2103
T: 11.00351708009839

RS: 2100
T: 11.364853790029883

RS: 1371
T: 7.4862638539634645

RS: 1889
T: 10.119955723173916

RS: 2144
T: 11.587052759947255

RS: 1731
T: 9.153379345079884

RS: 1583
T: 8.838766927132383

RS: 1975
T: 10.347362509928644

RS: 1770
T: 9.641376941930503

RS: 1974
T: 10.57135963998735

RS: 1870
T: 9.876175204059109

RS: 2144
T: 11.559312398079783

RS: 1779
T: 9.508064070018008

RS: 1614
T: 8.707446075975895

RS: 490
T: 2.5176734258420765

RS: 579
T: 3.1379278539679945

RS: 1832
T: 9.927243591984734

RS: 217
T: 1.2371273569297045

RS: 39
T: 0.3284729868173599

RS: 1712
T: 9.413732692832127

RS: 280
T: 1.65132029610686

RS: 1701
T: 8.93497288110666

RS: 2099
T: 11.829149725846946

RS: 1500
T: 9.771025033900514

RS: 2081
T: 12.935963470954448

RS: 2131
T: 13.504723682999611

RS: 551
T: 3.4383927688468248

RS: 1819
T: 11.678592337993905

RS: 1904
T: 12.11344514018856

RS: 1827
T: 11.872524061938748

RS: 1374
T: 8.948926293989643

RS: 1932
T: 12.893233804032207

RS: 1774
T: 12.394398756092414

RS: 1677
T: 11.859602013835683

RS: 1617
T: 11.475438297959045

RS: 2100
T: 14.486691795988008

RS: 1583
T: 11.200944083975628

RS: 1415
T: 10.01732504600659

RS: 1451
T: 10.101570944068953

RS: 1993
T: 13.763697599992156

RS: 2138
T: 14.306423728121445

RS: 1273
T: 9.079797792015597

RS: 214
T: 1.5531972399912775

RS: 2046
T: 13.512834155932069

RS: 632
T: 3.9131454669404775

RS: 1633
T: 10.523782097967342

RS: 1657
T: 10.689612580928952

RS: 154
T: 1.0378893699962646

RS: 1626
T: 10.45296716899611

RS: 2142
T: 13.383554234867916

RS: 1637
T: 10.751128933858126

RS: 146
T: 1.0502082291059196

