2024-04-24 13:41:02.193302
dataset='pajek-erdos'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=6927, E=11850
Subgraphing: lcc
Graph read time:
0.11296133487485349

Run times:
RS: 1547
T: 1.0677213710732758

RS: 1919
T: 1.0391173178795725

RS: 1686
T: 0.9908964009955525

RS: 2105
T: 1.1549735879525542

RS: 410
T: 0.5238547881599516

RS: 1466
T: 0.9242411728482693

RS: 2005
T: 1.0769274760968983

RS: 1977
T: 1.224644578061998

RS: 146
T: 0.4178868690505624

RS: 2119
T: 1.1448866231366992

RS: 2106
T: 1.273481016047299

RS: 1999
T: 1.32397556793876

RS: 1843
T: 1.111393831903115

RS: 705
T: 0.7009859629906714

RS: 2090
T: 1.2550031749997288

RS: 1896
T: 1.3016068290453404

RS: 2122
T: 1.06812361208722

RS: 1872
T: 1.4855757888872176

RS: 1648
T: 1.2106810649856925

RS: 1718
T: 0.9361961388494819

RS: 1418
T: 0.9060303620062768

RS: 287
T: 0.3943546849768609

RS: 2020
T: 1.1798025879543275

RS: 1082
T: 0.7833747072145343

RS: 1281
T: 1.050850611878559

RS: 1764
T: 0.9846994210965931

RS: 277
T: 0.4830169100314379

RS: 490
T: 0.6711617568507791

RS: 1501
T: 0.9604190259706229

RS: 1927
T: 1.0887339850887656

RS: 2140
T: 1.485469281906262

RS: 1500
T: 0.9132263660430908

RS: 2080
T: 1.1593520001042634

RS: 1719
T: 0.9870523300487548

RS: 1523
T: 1.1505494320299476

RS: 647
T: 0.5972911359276623

RS: 1433
T: 1.3115399009548128

RS: 2000
T: 1.281569130020216

RS: 1278
T: 1.062290684087202

RS: 2095
T: 1.136079726042226

RS: 1485
T: 1.1320959790609777

RS: 2100
T: 1.4484918068628758

RS: 2078
T: 1.3781611160375178

RS: 474
T: 0.5382754660677165

RS: 1797
T: 1.2355882178526372

RS: 657
T: 0.5220322730019689

RS: 444
T: 0.5595453500282019

RS: 2134
T: 1.5063365190289915

RS: 1882
T: 1.1110701931174845

RS: 1792
T: 1.0011076231021434

RS: 1977
T: 1.3406682619825006

RS: 1415
T: 1.0259532879572362

RS: 2141
T: 1.1693573461379856

RS: 1522
T: 1.1487459710333496

RS: 1452
T: 0.9457790090236813

RS: 2101
T: 1.6222858640830964

RS: 2136
T: 1.3427454540506005

RS: 1291
T: 0.8687447619158775

RS: 2123
T: 1.0868203460704535

RS: 90
T: 0.3440118320286274

RS: 362
T: 0.46232660696841776

RS: 1534
T: 0.8927162531763315

RS: 1632
T: 1.0030720520298928

RS: 2024
T: 1.2276822139974684

RS: 2116
T: 1.06535783293657

RS: 1447
T: 0.9923981421161443

RS: 2131
T: 1.2749937679618597

RS: 1950
T: 1.1262448709458113

RS: 1797
T: 1.2446041498333216

RS: 522
