2024-04-29 00:03:35.296512
dataset='elec'
max_runs=400
max_secs=40000
cores=2

graph size: N=7066, E=100667
Subgraphing: lcc
Graph read time:
0.3706792090088129

Current memory usage:
M: 195.7734375
Run times:
RS: 1691
T: 92.46048930310644

RS: 2164
T: 118.24775377009064

RS: 2395
T: 134.03882573614828

RS: 1330
T: 72.6700196750462

RS: 1373
T: 75.82436754298396

RS: 1144
T: 63.23455870104954

RS: 1705
T: 84.27825127891265

RS: 2786
T: 150.00647302600555

RS: 1255
T: 63.24555516592227

RS: 987
T: 57.14106965297833

RS: 787
T: 46.162536459974945

RS: 1276
T: 70.97824066085741

RS: 1236
T: 72.02908244612627

RS: 4068
T: 225.2016257320065

RS: 1718
T: 84.89434456103481

RS: 1289
T: 65.57443277607672

RS: 1418
T: 78.58715604990721

RS: 3212
T: 179.04721419000998

RS: 1246
T: 70.91129477298819

RS: 2564
T: 131.15554485516623

RS: 2932
T: 168.36412185709924

RS: 1119
T: 65.57885708403774

RS: 1447
T: 74.77697947109118

RS: 1367
T: 78.89416645094752

RS: 1708
T: 103.59342617588118

RS: 2843
T: 162.1540959221311

RS: 2068
T: 118.30450613703579

RS: 1763
T: 102.21089940913953

RS: 1564
T: 89.7573285610415

RS: 1195
T: 71.41758051887155

RS: 1891
T: 107.99000700586475

RS: 1927
T: 99.18473310698755

RS: 2813
T: 158.52163173700683

RS: 1626
T: 94.72386574395932

RS: 902
T: 46.90322657302022

RS: 1659
T: 85.74134774296544

RS: 3108
T: 176.48663915903307

RS: 1145
T: 65.42318346211687

RS: 1591
T: 91.04226900497451

RS: 1813
T: 105.43511423887685

RS: 1037
T: 54.477726767072454

RS: 2668
T: 137.62287170998752

RS: 2899
T: 164.84738073986955

RS: 1536
T: 93.26979870395735

RS: 1230
T: 63.839209450175986

RS: 1622
T: 83.87754284613766

RS: 808
T: 47.778103097109124

RS: 1731
T: 101.9832058690954

RS: 1348
T: 77.00650685909204

RS: 1839
T: 99.01334502198733

RS: 1447
T: 82.2388374961447

RS: 1257
T: 70.78652899293229

RS: 1637
T: 82.53686782415025

RS: 2614
T: 148.76333165704273

RS: 1909
T: 113.32727115415037

RS: 2939
T: 164.16404948197305

RS: 1589
T: 93.90322343399748

RS: 970
T: 56.35149229085073

RS: 1368
T: 78.97798891598359

RS: 2697
T: 150.98017493099906

RS: 1458
T: 83.43912581191398

RS: 1477
T: 84.00270026293583

RS: 970
T: 55.54837283119559

RS: 2672
T: 149.3650386449881

RS: 4221
T: 233.8774246580433

RS: 2755
