2024-04-24 01:10:31.708897
dataset='slashdot-threads'
prog='iCentral_p'
max_runs=1000
max_secs=40000

graph size: N=51083, E=117378
Subgraphing: lcc
Graph read time:
0.6615228748414665

Run times:
RS: 10213
T: 129.6107055239845
M: 9738.09375

RS: 10812
T: 135.921882588882
M: 10038.05078125

RS: 6596
T: 84.63128702505492
M: 10051.3046875

RS: 9081
T: 107.05187555006705
M: 10091.66015625

RS: 13044
T: 161.99484986206517
M: 10171.66015625

RS: 8455
T: 107.94176003709435
M: 10193.87890625

RS: 10523
T: 135.54279502178542
M: 10303.7578125

RS: 14182
T: 179.84602948185056
M: 10302.9140625

RS: 5974
T: 69.58477115514688
M: 10331.359375

RS: 17018
T: 212.28306467598304
M: 10360.6640625

RS: 8240
T: 105.75330822914839
M: 10342.625

RS: 14582
T: 183.70846882509068
M: 10397.37890625

RS: 15140
T: 188.7676018658094
M: 10381.046875

RS: 1789
T: 24.58466493198648
M: 10276.625

RS: 7333
T: 93.64258112292737
M: 10369.9375

RS: 19412
T: 246.96085529704578
M: 10421.625

RS: 10731
T: 136.2628533160314
M: 10432.234375

RS: 12460
T: 150.21454609604552
M: 10492.71875

RS: 16599
T: 207.78619054681621
M: 10472.14453125

RS: 15611
T: 201.3909900521394
M: 10483.7890625

RS: 4
T: 0.9387564749922603
M: 873.2578125

RS: 10663
T: 131.61608461895958
M: 10381.19140625

RS: 7500
T: 96.72678849683143
M: 10364.15234375

RS: 9231
T: 117.6990404240787
M: 10481.34765625

RS: 13807
T: 174.37725411099382
M: 10461.515625

RS: 11771
T: 149.35680625704117
M: 10449.6328125

RS: 6033
T: 78.7950961200986
M: 10452.4453125

RS: 7211
T: 88.97540503880009
M: 10441.98828125

RS: 9587
T: 123.27404024009593
M: 10347.28125

RS: 10982
T: 135.75279715191573
M: 10347.42578125

RS: 11927
T: 155.88439384987578
M: 10364.515625

RS: 11638
T: 148.28979171509854
M: 10343.3828125

RS: 10643
T: 136.46884134598076
M: 10355.46875

RS: 11013
T: 127.53458859608509
M: 10370.21484375

RS: 17646
T: 221.57921769400127
M: 10345.984375

RS: 16004
T: 195.38684374489821
M: 10640.3203125

