2024-04-24 01:10:33.027193
dataset='wikispeedia'
prog='LeeBCC'
max_runs=1000
max_secs=40000

graph size: N=4179, E=50500
Subgraphing: lcc
Graph read time:
0.41353576979599893

Run times:
RS: 4105
RS: 4105
T: 309.430963025894
M: 338.09765625

RS: 4105
RS: 4105
T: 305.7421102928929
M: 338.30078125

RS: 4105
RS: 4105
T: 309.44129787385464
M: 338.34765625

RS: 4105
RS: 4105
T: 308.2578328831587
M: 338.34765625

RS: 4105
RS: 4105
T: 306.0513795709703
M: 338.3515625

RS: 4105
RS: 4105
T: 306.1173737279605
M: 342.5859375

RS: 4105
RS: 4105
T: 306.22491750400513
M: 342.58984375

RS: 4105
RS: 4105
T: 310.81735978415236
M: 342.58984375

RS: 4105
RS: 4105
T: 304.9867720750626
M: 342.58984375

RS: 4105
RS: 4105
T: 306.96347407391295
M: 342.58984375

RS: 4105
RS: 4105
T: 308.2132498261053
M: 342.58984375

RS: 4105
RS: 4105
T: 307.1809878940694
M: 342.58984375

RS: 4105
RS: 4105
T: 310.5071861790493
M: 342.58984375

RS: 4105
RS: 4105
T: 304.51811440102756
M: 342.58984375

RS: 4105
RS: 4105
T: 305.58918024390005
M: 345.45703125

RS: 4105
RS: 4105
T: 311.5726749179885
M: 346.16796875

RS: 4105
RS: 4105
T: 303.7880751909688
M: 346.16796875

RS: 4105
RS: 4105
T: 302.9989436089527
M: 346.16796875

RS: 4105
RS: 4105
T: 306.75864364998415
M: 346.16796875

RS: 4105
RS: 4105
T: 300.5410126680508
M: 335.83984375

RS: 4105
RS: 4105
T: 305.7940862630494
M: 341.04296875

RS: 4105
RS: 4105
T: 302.0946680260822
M: 341.04296875

RS: 4105
RS: 4105
T: 302.9690929900389
M: 341.04296875

RS: 4105
RS: 4105
T: 306.42221221490763
M: 341.04296875

RS: 4105
RS: 4105
T: 300.33825561311096
M: 341.04296875

RS: 4105
RS: 4105
T: 301.1421013530344
M: 341.04296875

RS: 4105
RS: 4105
T: 301.08609061385505
M: 341.04296875

RS: 4105
RS: 4105
T: 308.19824398797937
M: 345.52734375

RS: 4105
RS: 4105
T: 301.1047836910002
M: 345.52734375

RS: 4105
RS: 4105
T: 306.4526956670452
M: 345.52734375

RS: 4105
RS: 4105
T: 306.78536157892086
M: 345.52734375

RS: 4105
RS: 4105
T: 313.01198405004106
M: 345.52734375

RS: 4105
RS: 4105
T: 319.4463678628672
M: 346.61328125

RS: 4105
RS: 4105
T: 323.59840629599057
M: 346.61328125

RS: 4105
RS: 4105
T: 320.0662549280096
M: 346.61328125

RS: 4105
RS: 4105
T: 315.98477373900823
M: 346.61328125

RS: 4105
RS: 4105
T: 319.3275185348466
M: 346.61328125

RS: 4105
RS: 4105
T: 311.14621339109726
M: 346.61328125

RS: 4105
RS: 4105
T: 316.26727844704874
M: 348.390625

RS: 4105
RS: 4105
T: 310.6478587160818
M: 348.390625

RS: 4105
RS: 4105
T: 316.17552357912064
M: 348.390625

RS: 4105
RS: 4105
T: 311.6915617620107
M: 348.390625

RS: 4105
RS: 4105
T: 314.30557164619677
M: 348.390625

RS: 4105
RS: 4105
T: 314.29368852986954
M: 340.52734375

RS: 4105
RS: 4105
T: 310.7499692440033
M: 340.52734375

RS: 4105
RS: 4105
T: 311.9000976730604
M: 344.765625

RS: 4105
RS: 4105
T: 316.1519629289396
M: 344.7734375

RS: 4105
RS: 4105
T: 311.80049932096153
M: 344.7734375

RS: 4105
RS: 4105
T: 316.20699736406095
M: 344.7734375

RS: 4105
RS: 4105
T: 311.8071974229533
M: 345.4140625

RS: 4105
RS: 4105
T: 316.31377852195874
