2024-04-26 13:23:28.242273
dataset='wikispeedia'
prog='iCentral'
max_runs=1000
max_secs=40000

graph size: N=4105, E=50426
Subgraphing: bcc
Graph read time:
0.4588583910372108

Current memory usage:
M: 197.22265625
Run times:
RS: 1804
T: 52.46789613110013
M: 513.0

RS: 759
T: 22.363617435097694
M: 658.5390625

RS: 2343
T: 68.49336609919555
M: 660.84765625

RS: 1073
T: 32.03672825405374
M: 661.390625

RS: 2270
T: 66.36609255499206
M: 662.93359375

RS: 982
T: 28.967095226049423
M: 662.9609375

RS: 1528
T: 44.9610300778877
M: 662.93359375

RS: 1517
T: 44.19905440113507
M: 662.93359375

RS: 1618
T: 47.519982242025435
M: 662.93359375

RS: 2580
T: 75.15983360819519
M: 663.30859375

RS: 570
T: 16.82728239102289
M: 662.91796875

RS: 1133
T: 33.73991889297031
M: 662.91796875

RS: 979
T: 29.028185992967337
M: 663.3046875

RS: 2669
T: 77.66453842911869
M: 662.9765625

RS: 1595
T: 46.65047940798104
M: 662.9296875

RS: 819
T: 23.667353552067652
M: 662.921875

RS: 2157
T: 63.35515716695227
M: 663.31640625

RS: 1257
T: 36.911203027004376
M: 662.92578125

RS: 2016
T: 58.39718950004317
M: 662.98046875

RS: 1347
T: 39.254121594829485
M: 662.9375

RS: 1753
T: 51.303447081008926
M: 663.26953125

RS: 3163
T: 92.02428869903088
M: 663.734375

RS: 982
T: 28.85470080585219
M: 659.65625

RS: 2855
T: 82.84074820694514
M: 661.078125

RS: 1088
T: 32.18491502804682
M: 663.3359375

RS: 2896
T: 84.51103252591565
M: 663.33984375

RS: 1482
T: 42.992156928172335
M: 663.33984375

RS: 1614
T: 47.42305985209532
M: 663.3359375

RS: 1787
T: 52.63442257302813
M: 663.33984375

RS: 1257
T: 36.85918055102229
M: 663.328125

RS: 1632
T: 47.99029489303939
M: 663.33984375

RS: 2323
T: 72.95751910982653
M: 663.71875

RS: 2684
T: 78.09349034703337
M: 663.359375

RS: 1722
T: 50.92473672097549
M: 664.9375

RS: 2562
T: 74.70225208392367
M: 664.95703125

RS: 2461
T: 71.89988955995068
M: 664.95703125

RS: 599
T: 17.45933576999232
M: 664.94921875

RS: 1074
T: 31.173440149985254
M: 665.328125

RS: 1443
T: 42.598066611913964
M: 665.32421875

RS: 1869
T: 54.70953988912515
M: 664.95703125

RS: 1797
T: 52.521306657930836
M: 664.95703125

RS: 2092
T: 61.046058339998126
M: 664.95703125

RS: 1522
T: 44.46656644088216
M: 664.95703125

RS: 3458
T: 100.4884247048758
M: 664.96484375

RS: 984
T: 29.219267065869644
M: 665.3359375

RS: 1499
T: 44.47382155386731
M: 664.9609375

RS: 2456
T: 71.84581794193946
M: 664.96484375

RS: 2123
T: 61.934400697937235
M: 664.96484375

RS: 1258
T: 36.97491693496704
M: 664.9609375

RS: 3373
T: 98.00368427601643
M: 664.96484375

RS: 1968
T: 57.68121620104648
M: 664.96484375

RS: 1625
T: 47.93296500016004
M: 665.00390625

RS: 1174
T: 34.66402669297531
M: 664.87890625

RS: 1286
T: 38.04516652901657
M: 659.72265625

RS: 3789
T: 110.08221858902834
M: 660.40234375

RS: 1324
T: 38.78068646392785
M: 660.55078125

RS: 878
T: 25.606395345181227
M: 660.56640625

RS: 1658
T: 48.77624933607876
M: 660.74609375

RS: 1831
T: 54.38969118217938
M: 660.74609375

RS: 2263
T: 67.06344723212533
M: 664.30859375

RS: 2049
T: 59.82355408812873
M: 664.69140625

RS: 2894
T: 85.39767120988108
M: 664.45703125

RS: 1969
T: 56.35717806988396
M: 661.8203125

RS: 1608
T: 47.28275704802945
M: 663.42578125

RS: 1744
T: 52.64262964180671
M: 663.91796875

RS: 2160
T: 64.24575124378316
M: 663.60546875

RS: 772
T: 23.33046732097864
M: 663.61328125

RS: 1696
T: 50.50999647891149
M: 663.61328125

RS: 1882
T: 55.55709732999094
M: 663.78125

RS: 1518
T: 45.266676664119586
M: 664.0234375

RS: 3332
T: 98.751585702179
M: 664.796875

RS: 1578
T: 47.215264894999564
M: 665.61328125

RS: 799
T: 23.586930016055703
M: 665.61328125

RS: 1586
T: 46.87956711999141
M: 665.61328125

RS: 3591
T: 105.23915995215066
M: 665.61328125

RS: 1697
T: 50.46046275808476
M: 663.34765625

RS: 2554
T: 76.05286190100014
M: 663.47265625

RS: 1259
T: 37.554630307946354
M: 663.59765625

RS: 3522
T: 103.79291508812457
M: 663.7734375

RS: 2383
T: 70.50100504583679
M: 663.94921875

RS: 877
T: 26.393083752831444
M: 663.94921875

RS: 1287
T: 38.36291656177491
M: 663.94921875

RS: 1314
T: 39.62181777600199
M: 663.94921875

RS: 2398
T: 70.90410780510865
M: 663.94921875

RS: 1169
T: 34.34925270290114
M: 664.05078125

RS: 2105
T: 62.28637818596326
M: 664.40234375

RS: 2739
T: 80.47830987884663
M: 664.40234375

RS: 1707
T: 50.933946260018274
M: 664.40234375

RS: 1178
T: 35.02336950786412
M: 664.40234375

RS: 1365
T: 40.817535179900005
M: 672.81640625

RS: 1869
T: 55.32331441389397
M: 672.81640625

RS: 547
T: 16.62045492697507
M: 672.8125

RS: 983
T: 29.470193804008886
M: 656.640625

RS: 2663
T: 78.45268952893093
M: 659.19140625

RS: 1202
T: 35.797735360916704
M: 661.9921875

RS: 1889
T: 56.74440016481094
M: 662.12109375

RS: 1805
T: 54.36641947203316
M: 662.609375

RS: 1087
T: 32.08146842988208
M: 663.51171875

RS: 1716
T: 50.891725053079426
M: 663.51171875

RS: 799
T: 24.004073517862707
M: 663.51953125

RS: 1268
T: 37.75264512212016
M: 663.51953125

RS: 3117
T: 92.20394920394756
M: 663.5625

RS: 1019
T: 31.052817645017058
M: 663.51953125

RS: 2215
T: 66.24865519697778
M: 663.9140625

RS: 2740
T: 80.91217322018929
M: 668.12890625

RS: 1739
T: 51.50814763898961
M: 668.171875

RS: 1575
T: 47.11342262197286
M: 668.12890625

RS: 1560
T: 46.05368074099533
M: 668.12890625

RS: 2130
T: 62.943503234069794
M: 668.12890625

RS: 3225
T: 94.50053192395717
M: 668.1328125

RS: 2603
T: 77.1385781657882
M: 668.12890625

RS: 2399
T: 70.78628501296043
M: 668.12890625

RS: 1290
T: 38.17537822201848
M: 654.85546875

RS: 1219
T: 37.16034524794668
M: 660.328125

RS: 1958
T: 58.66547717503272
M: 660.8046875

RS: 1462
T: 42.8831884090323
M: 661.4453125

RS: 1939
T: 57.825311141088605
M: 661.671875

RS: 904
T: 27.136136505985633
M: 661.62890625

RS: 858
T: 25.861214180011302
M: 662.359375

RS: 1135
T: 33.65069900290109
M: 663.08984375

RS: 2017
T: 59.52865373203531
M: 663.140625

RS: 1368
T: 41.45672470284626
M: 663.234375

RS: 2837
T: 84.29964701109566
M: 664.01953125

RS: 1680
T: 49.4656331690494
M: 665.11328125

RS: 1679
T: 49.7424957070034
M: 665.48828125

RS: 1629
T: 47.40733579895459
M: 665.14453125

RS: 1329
T: 38.87467648508027
M: 665.14453125

RS: 1840
T: 54.32845541089773
M: 665.14453125

RS: 1838
T: 54.20368877891451
M: 665.14453125

RS: 2634
T: 77.38634209288284
M: 665.14453125

RS: 2018
T: 60.09996425313875
M: 665.14453125

RS: 2089
T: 61.47560857585631
M: 665.6015625

RS: 1816
T: 53.79701133607887
M: 666.16796875

RS: 1423
T: 42.26867552520707
M: 661.25390625

RS: 1664
T: 49.83357299212366
M: 661.265625

RS: 1630
T: 48.89412697311491
M: 661.64453125

RS: 1757
T: 51.59128019399941
M: 661.64453125

RS: 1852
T: 55.4492247228045
M: 661.26953125

RS: 1550
T: 46.140139393974096
M: 661.26953125

RS: 2167
T: 63.96071574604139
M: 661.57421875

RS: 1328
T: 39.32817762508057
M: 661.87890625

RS: 1452
T: 43.448309189174324
M: 662.7265625

RS: 3012
T: 89.30834423308261
M: 665.08984375

RS: 1042
T: 31.020997377112508
M: 666.28515625

RS: 1974
T: 57.954570886911824
M: 657.859375

RS: 1727
T: 51.061639294959605
M: 662.8125

RS: 3787
T: 111.86603346210904
M: 663.44921875

RS: 1038
T: 31.253663123119622
M: 663.55078125

RS: 1939
T: 57.33795258007012
M: 664.5

RS: 2049
T: 60.92021934688091
M: 665.44921875

RS: 1785
T: 53.345916686113924
M: 665.453125

RS: 921
T: 27.573433722835034
M: 668.2265625

RS: 1248
T: 36.5376787178684
M: 668.23046875

RS: 2129
T: 63.84572206414305
M: 665.49609375

RS: 1631
T: 48.75075459503569
M: 658.59375

RS: 1087
T: 32.28913615713827
M: 659.46484375

RS: 1808
T: 53.76445498201065
M: 660.54296875

RS: 1323
T: 39.94758456200361
M: 663.56640625

RS: 938
T: 28.126104440074414
M: 664.66015625

RS: 1836
T: 54.49906393000856
M: 665.03515625

RS: 3735
T: 111.01791781792417
M: 664.69921875

RS: 1487
T: 44.22879626089707
M: 664.73828125

RS: 3387
T: 100.10869125486352
M: 664.78125

RS: 669
T: 20.148677391000092
M: 664.73828125

RS: 789
T: 23.639003383927047
M: 664.73828125

RS: 1980
T: 58.664939570007846
M: 664.78125

RS: 1775
T: 53.44775121798739
M: 664.73828125

RS: 1953
T: 59.19017053511925
M: 664.78125

RS: 746
T: 22.03636974398978
M: 664.73828125

RS: 1635
T: 48.49979315814562
M: 664.73828125

RS: 559
T: 16.933337123133242
M: 664.73828125

RS: 1913
