Running iCentral_p:
Processes=32
recalculation size: 19082
total work (1247749): 127.57462594204117
real work (1247749): 127.29619238502346
total work (1247748): 127.55322333297227
real work (1247748): 127.13817463105079
total work (1247747): 127.65057134104427
real work (1247747): 127.23963845800608
total work (1247730): 127.54869190696627
real work (1247730): 127.26241107890382
total work (1247737): 127.53742212906945
real work (1247737): 127.20859366760124
total work (1247754): 127.42526240297593
real work (1247754): 127.0580415254226
total work (1247741): 127.71840195008554
real work (1247741): 127.4804966636002
total work (1247738): 127.5860036649974
real work (1247738): 127.10822429542895
total work (1247760): 127.49543612601701
real work (1247760): 127.02920615510084
total work (1247736): 127.50853814301081
real work (1247736): 127.09380075405352
total work (1247752): 127.47316118807066
real work (1247752): 127.14587100362405
total work (1247735): 127.53912810503971
real work (1247735): 127.28995790774934
total work (1247743): 127.59480421000626
real work (1247743): 127.25593355158344
total work (1247745): 127.5482300859876
real work (1247745): 127.21848580637015
total work (1247729): 127.54104031296447
real work (1247729): 127.13352405559272
total work (1247751): 127.50494953698944
real work (1247751): 127.14617616613396
total work (1247750): 127.55647799093276
real work (1247750): 127.20303697150666
total work (1247734): 127.53585135692265
real work (1247734): 127.17215264262632
total work (1247755): 127.45123931602575
real work (1247755): 127.08403077849653
total work (1247732): 127.55797468300443
real work (1247732): 127.12088649324141
total work (1247744): 127.50927443895489
real work (1247744): 127.15920580050442
total work (1247758): 127.44238137104549
real work (1247758): 127.0095218080096
total work (1247753): 127.50562380102929
real work (1247753): 127.01302289555315
total work (1247746): 127.54219003696926
real work (1247746): 127.22218721359968
total work (1247742): 127.48329606303014
real work (1247742): 127.17664515052456
total work (1247757): 127.48108428402338
real work (1247757): 127.18866680783685
total work (1247756): 127.43040238099638
real work (1247756): 127.05503744690213
total work (1247739): 127.51299755100626
real work (1247739): 127.11518368159886
total work (1247731): 127.5061668169219
real work (1247731): 127.06376586400438
total work (1247740): 127.52106465492398
real work (1247740): 127.14134752831887
total work (1247759): 127.45188457495533
real work (1247759): 127.11776932468638
total work (1247733): 127.61532545799855
real work (1247733): 127.23480036621913
defaultdict(<class 'int'>, {1247733: 757, 1247755: 601, 1247732: 608, 1247754: 559, 1247759: 684, 1247760: 577, 1247753: 629, 1247756: 646, 1247758: 622, 1247736: 564, 1247735: 578, 1247742: 626, 1247744: 609, 1247757: 634, 1247731: 646, 1247748: 504, 1247749: 509, 1247737: 550, 1247738: 564, 1247746: 617, 1247745: 580, 1247740: 651, 1247752: 575, 1247747: 520, 1247751: 580, 1247729: 587, 1247743: 585, 1247739: 629, 1247750: 594, 1247741: 562, 1247730: 548, 1247734: 587})
Real time Parallel iCentral:
343.3683997030603
