Running iCentral_p:
Processes=64
recalculation size: 19082
prep finish: 61.02447972004302
process creation: 0.0018759650411084294
process creation: 0.001487339031882584
process creation: 0.0015174599830061197
process creation: 0.0018036740366369486
process creation: 0.0015772059559822083
process creation: 0.0015421470161527395
process creation: 0.001802318962290883
process creation: 0.0016567890997976065
process creation: 0.0015450300415977836
process creation: 0.0018247810658067465
process creation: 0.0018289219588041306
process creation: 0.0016779128927737474
process creation: 0.001941430033184588
process creation: 0.0040808700723573565
process creation: 0.0030859890393912792
process creation: 0.00219833105802536
process creation: 0.0017339779296889901
process creation: 0.0019375960109755397
process creation: 0.001695489976555109
process creation: 0.002548279007896781
process creation: 0.0017275669379159808
process creation: 0.0020524660358205438
process creation: 0.0017056219512596726
process creation: 0.001996799954213202
process creation: 0.0019743030425161123
process creation: 0.0020587900653481483
process creation: 0.001817082054913044
process creation: 0.002112264046445489
process creation: 0.0020115330116823316
process creation: 0.00198048900347203
process creation: 0.0017817659536376595
process creation: 0.0020028750877827406
process creation: 0.001956811989657581
process creation: 0.0018865789752453566
process creation: 0.001979425083845854
process creation: 0.0019902950152754784
process creation: 0.002024712972342968
process creation: 0.0020168100018054247
process creation: 0.002158891991712153
process creation: 0.002025886904448271
process creation: 0.0020448550349101424
process creation: 0.0021169160027056932
process creation: 0.0021106869680806994
process creation: 0.002106201951391995
process creation: 0.002045100089162588
process creation: 0.002114835078828037
process creation: 0.002076008007861674
process creation: 0.001983196008950472
process creation: 0.0020391009747982025
process creation: 0.001981410081498325
process creation: 0.002126460080035031
process creation: 0.002059546997770667
process creation: 0.0021334580378606915
process creation: 0.0021567780058830976
process creation: 0.0021895220270380378
process creation: 0.002037987927906215
process creation: 0.002133615897037089
process creation: 0.0022456709994003177
process creation: 0.002190994913689792
process creation: 0.002043785061687231
process creation: 0.0022203210974112153
process creation: 0.002131326007656753
