Running iCentral_p:
Processes=64
recalculation size: 19082
prep finish: 1.5213136239908636
process creation: 0.0034352419897913933
process creation: 0.0032266229391098022
process creation: 0.0018793550552800298
process creation: 0.001790023990906775
process creation: 0.0017769830301404
process creation: 0.0017940320540219545
process creation: 0.0017695169663056731
process creation: 0.0017975189257413149
process creation: 0.002562175039201975
process creation: 0.003129549091681838
process creation: 0.0020737280137836933
process creation: 0.0021219339687377214
process creation: 0.00223839795216918
process creation: 0.0024110160302370787
process creation: 0.002523284056223929
process creation: 0.002713797031901777
process creation: 0.0029021200025454164
process creation: 0.004100673948414624
process creation: 0.0036559159634634852
process creation: 0.0037160019855946302
process creation: 0.004169326042756438
process creation: 0.0038321660831570625
process creation: 0.0038070500595495105
process creation: 0.0038818399189040065
process creation: 0.0038569860626012087
process creation: 0.004110801964998245
process creation: 0.005398262059316039
process creation: 0.004028975032269955
process creation: 0.004015819053165615
process creation: 0.004001316032372415
process creation: 0.004025380942039192
process creation: 0.004867772106081247
process creation: 0.004045007051900029
process creation: 0.0040445090271532536
process creation: 0.004070697003044188
process creation: 0.00444933504331857
process creation: 0.005330746993422508
process creation: 0.004136334988288581
process creation: 0.004196791909635067
process creation: 0.0042473929934203625
process creation: 0.0042983629973605275
process creation: 0.006309857009910047
process creation: 0.004329010960645974
process creation: 0.004308367031626403
process creation: 0.005207344074733555
process creation: 0.012914726976305246
process creation: 0.004663343075662851
process creation: 0.004566026967950165
process creation: 0.004596948041580617
process creation: 0.004693611059337854
process creation: 0.004622615990228951
process creation: 0.006872397032566369
process creation: 0.004780421033501625
process creation: 0.004751430009491742
process creation: 0.006757084978744388
process creation: 0.004930989001877606
process creation: 0.004800647031515837
process creation: 0.004774827044457197
process creation: 0.0052705720299854875
process creation: 0.005648346967063844
process creation: 0.004818595014512539
process creation: 0.004941622028127313
total work (3834257): 72.2766948749777
real work (3834257): 72.07523909246083
total work (3834205): 72.41143463400658
real work (3834205): 72.1890889024362
total work (3834183): 72.464403865044
real work (3834183): 72.21322474849876
total work (3834253): 72.71049813099671
real work (3834253): 72.19046476995572
total work (3834221): 72.43317997804843
real work (3834221): 72.21896351780742
total work (3834191): 72.48118385800626
real work (3834191): 72.24275852821302
total work (3834266): 72.3667780100368
real work (3834266): 72.09080844651908
total work (3834279): 72.3360723729711
real work (3834279): 72.02080970699899
total work (3834286): 72.33241825597361
real work (3834286): 72.00629944633693
total work (3834217): 72.50949668197427
real work (3834217): 72.1860713387141
total work (3834197): 72.53565339802299
real work (3834197): 72.21826894325204
total work (3834203): 72.53728770301677
real work (3834203): 72.21789201220963
total work (3834296): 72.32795201102272
real work (3834296): 72.03427607798949
total work (3834295): 72.3397681809729
real work (3834295): 72.03715034446213
total work (3834229): 72.59481126407627
real work (3834229): 72.23403437400702
total work (3834193): 72.653124438948
real work (3834193): 72.26720023003872
total work (3834270): 72.46456393401604
real work (3834270): 72.11180099530611
total work (3834241): 72.59404463192914
real work (3834241): 72.19863437360618
total work (3834237): 72.62453723303042
real work (3834237): 72.21399880805984
total work (3834249): 72.59459130803589
real work (3834249): 72.13285076164175
total work (3834260): 72.6082675770158
real work (3834260): 72.12894978758413
total work (3834273): 72.58400567993522
real work (3834273): 72.112440232886
total work (3834215): 72.75511185196228
real work (3834215): 72.27915270801168
total work (3834304): 72.52607619704213
real work (3834304): 72.0519664628664
total work (3834265): 72.67185997404158
real work (3834265): 72.16691403102595
total work (3834280): 72.61710932292044
real work (3834280): 72.10182411095593
total work (3834292): 72.6571767500136
real work (3834292): 72.09243610571139
total work (3834227): 72.77188091294374
real work (3834227): 72.25799091113731
total work (3834299): 72.85481597902253
real work (3834299): 72.11152797040995
